,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100813,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 00:00:02.483
1,101002,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 00:10:02.327
2,101191,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 00:20:02.401
3,101380,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 00:30:02.053
4,101569,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 00:40:02.56
5,101758,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 00:50:01.898
6,101947,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 01:00:01.656
7,102136,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 01:10:02.184
8,102325,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 01:20:02.26
9,102514,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 01:30:02.051
10,102703,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 01:40:02.218
11,102892,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 01:50:02.054
12,103081,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 02:00:01.626
13,103270,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 02:10:01.659
14,103459,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 02:20:02.44
15,103648,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 02:30:01.848
16,103837,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 02:40:02.273
17,104026,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 02:50:01.692
18,104215,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 03:00:02.482
19,104404,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 03:10:02.128
20,104593,Philippines,307,77,275,19,1,13,1,,3,2020-03-22 03:20:02.286
21,104782,Philippines,307,,275,19,,13,1,,3,2020-03-22 03:30:01.618
22,104967,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 03:40:02.473
23,105156,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 03:50:02.419
24,105345,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 04:00:02.368
25,105534,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 04:10:02.471
26,105723,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 04:20:02.205
27,105912,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 04:30:01.838
28,106101,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 04:40:01.728
29,106290,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 04:50:02.186
30,106479,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 05:00:02.283
31,106668,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 05:10:02.023
32,106857,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 05:20:02.539
33,107046,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 05:30:01.917
34,107235,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 05:40:02.393
35,107424,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 05:50:01.706
36,107613,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 06:00:02.31
37,107802,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 06:10:02.48
38,107991,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 06:20:02.308
39,108180,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 06:30:02.468
40,108369,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 06:40:01.627
41,108558,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 06:50:02.568
42,108747,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 07:00:01.882
43,108936,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 07:10:01.602
44,109125,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 07:20:01.725
45,109314,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 07:30:02.517
46,109503,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 07:40:02.004
47,109692,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 07:50:01.639
48,109881,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 08:00:02.288
49,110070,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 08:10:01.955
50,110259,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 08:20:02.461
51,110448,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 08:30:01.924
52,110637,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 08:40:02.277
53,110826,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 08:50:01.998
54,111015,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 09:00:02.386
55,111204,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 09:10:02.333
56,111393,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 09:20:01.679
57,111582,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 09:30:01.858
58,111771,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 09:40:02.077
59,111960,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 09:50:02.389
60,112149,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 10:00:01.658
61,112338,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 10:10:02.03
62,112527,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 10:20:02.283
63,112716,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 10:30:02.203
64,112905,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 10:50:02.099
65,113094,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 11:00:01.809
66,113283,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 11:10:02.337
67,113473,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 11:20:02.297
68,113662,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 11:30:02.571
69,113851,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 11:40:01.658
70,114040,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 11:50:02.534
71,114229,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 12:00:01.655
72,114418,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 12:10:02.323
73,114607,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 12:20:01.826
74,114796,Philippines,380,73,340,25,6,15,1,,3,2020-03-22 12:30:02.517
