,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100785,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 00:00:02.483
1,100974,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 00:10:02.327
2,101163,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 00:20:02.401
3,101352,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 00:30:02.053
4,101541,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 00:40:02.56
5,101730,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 00:50:01.898
6,101919,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 01:00:01.656
7,102108,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 01:10:02.184
8,102297,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 01:20:02.26
9,102486,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 01:30:02.051
10,102675,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 01:40:02.218
11,102864,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 01:50:02.054
12,103053,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 02:00:01.626
13,103242,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 02:10:01.659
14,103431,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 02:20:02.44
15,103620,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 02:30:01.848
16,103809,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 02:40:02.273
17,103998,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 02:50:01.692
18,104187,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 03:00:02.482
19,104376,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 03:10:02.128
20,104565,Portugal,"1,280",260,"1,263",12,6,5,26,,126,2020-03-22 03:20:02.286
21,104754,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 03:30:01.618
22,104944,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 03:40:02.473
23,105133,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 03:50:02.419
24,105322,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 04:00:02.368
25,105511,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 04:10:02.471
26,105700,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 04:20:02.205
27,105889,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 04:30:01.838
28,106078,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 04:40:01.728
29,106267,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 04:50:02.186
30,106456,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 05:00:02.283
31,106645,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 05:10:02.023
32,106834,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 05:20:02.539
33,107023,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 05:30:01.917
34,107212,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 05:40:02.393
35,107401,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 05:50:01.706
36,107590,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 06:00:02.31
37,107779,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 06:10:02.48
38,107968,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 06:20:02.308
39,108157,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 06:30:02.468
40,108346,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 06:40:01.627
41,108535,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 06:50:02.568
42,108724,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 07:00:01.882
43,108913,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 07:10:01.602
44,109102,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 07:20:01.725
45,109291,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 07:30:02.517
46,109480,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 07:40:02.004
47,109669,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 07:50:01.639
48,109858,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 08:00:02.288
49,110047,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 08:10:01.955
50,110236,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 08:20:02.461
51,110425,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 08:30:01.924
52,110614,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 08:40:02.277
53,110803,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 08:50:01.998
54,110992,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 09:00:02.386
55,111181,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 09:10:02.333
56,111370,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 09:20:01.679
57,111559,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 09:30:01.858
58,111748,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 09:40:02.077
59,111937,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 09:50:02.389
60,112126,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 10:00:01.658
61,112315,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 10:10:02.03
62,112504,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 10:20:02.283
63,112693,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 10:30:02.203
64,112882,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 10:50:02.099
65,113071,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 11:00:01.809
66,113260,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 11:10:02.337
67,113449,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 11:20:02.297
68,113638,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 11:30:02.571
69,113827,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 11:40:01.658
70,114016,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 11:50:02.534
71,114205,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 12:00:01.655
72,114394,Portugal,"1,280",,"1,263",12,,5,26,,126,2020-03-22 12:10:02.323
73,114580,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 12:20:01.826
74,114769,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 12:30:02.517
75,114958,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 12:40:02.46
76,115147,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 12:50:02.108
77,115336,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 13:00:01.691
78,115525,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 13:10:01.964
79,115714,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 13:20:01.995
80,115903,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 13:30:02.353
81,116092,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 13:40:02.609
82,116281,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 13:50:01.753
83,116470,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 14:00:02.347
84,116659,Portugal,"1,600",320,"1,581",14,2,5,26,,157,2020-03-22 14:10:02.014
