,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100809,Romania,367,59,315,,,52,14,,19,2020-03-22 00:00:02.483
1,100998,Romania,367,59,315,,,52,14,,19,2020-03-22 00:10:02.327
2,101187,Romania,367,59,315,,,52,14,,19,2020-03-22 00:20:02.401
3,101376,Romania,367,59,315,,,52,14,,19,2020-03-22 00:30:02.053
4,101565,Romania,367,59,315,,,52,14,,19,2020-03-22 00:40:02.56
5,101754,Romania,367,59,315,,,52,14,,19,2020-03-22 00:50:01.898
6,101943,Romania,367,59,315,,,52,14,,19,2020-03-22 01:00:01.656
7,102132,Romania,367,59,315,,,52,14,,19,2020-03-22 01:10:02.184
8,102321,Romania,367,59,315,,,52,14,,19,2020-03-22 01:20:02.26
9,102510,Romania,367,59,315,,,52,14,,19,2020-03-22 01:30:02.051
10,102699,Romania,367,59,315,,,52,14,,19,2020-03-22 01:40:02.218
11,102888,Romania,367,59,315,,,52,14,,19,2020-03-22 01:50:02.054
12,103077,Romania,367,59,315,,,52,14,,19,2020-03-22 02:00:01.626
13,103266,Romania,367,59,315,,,52,14,,19,2020-03-22 02:10:01.659
14,103455,Romania,367,59,315,,,52,14,,19,2020-03-22 02:20:02.44
15,103644,Romania,367,59,315,,,52,14,,19,2020-03-22 02:30:01.848
16,103833,Romania,367,59,315,,,52,14,,19,2020-03-22 02:40:02.273
17,104022,Romania,367,59,315,,,52,14,,19,2020-03-22 02:50:01.692
18,104211,Romania,367,59,315,,,52,14,,19,2020-03-22 03:00:02.482
19,104400,Romania,367,59,315,,,52,14,,19,2020-03-22 03:10:02.128
20,104589,Romania,367,59,315,,,52,14,,19,2020-03-22 03:20:02.286
21,104778,Romania,367,,315,,,52,14,,19,2020-03-22 03:30:01.618
22,104968,Romania,367,,315,,,52,14,,19,2020-03-22 03:40:02.473
23,105157,Romania,367,,315,,,52,14,,19,2020-03-22 03:50:02.419
24,105346,Romania,367,,315,,,52,14,,19,2020-03-22 04:00:02.368
25,105535,Romania,367,,315,,,52,14,,19,2020-03-22 04:10:02.471
26,105724,Romania,367,,315,,,52,14,,19,2020-03-22 04:20:02.205
27,105913,Romania,367,,315,,,52,14,,19,2020-03-22 04:30:01.838
28,106102,Romania,367,,315,,,52,14,,19,2020-03-22 04:40:01.728
29,106291,Romania,367,,315,,,52,14,,19,2020-03-22 04:50:02.186
30,106480,Romania,367,,315,,,52,14,,19,2020-03-22 05:00:02.283
31,106669,Romania,367,,315,,,52,14,,19,2020-03-22 05:10:02.023
32,106858,Romania,367,,315,,,52,14,,19,2020-03-22 05:20:02.539
33,107047,Romania,367,,315,,,52,14,,19,2020-03-22 05:30:01.917
34,107236,Romania,367,,315,,,52,14,,19,2020-03-22 05:40:02.393
35,107425,Romania,367,,315,,,52,14,,19,2020-03-22 05:50:01.706
36,107614,Romania,367,,315,,,52,14,,19,2020-03-22 06:00:02.31
37,107803,Romania,367,,315,,,52,14,,19,2020-03-22 06:10:02.48
38,107992,Romania,367,,315,,,52,14,,19,2020-03-22 06:20:02.308
39,108181,Romania,367,,315,,,52,14,,19,2020-03-22 06:30:02.468
40,108370,Romania,367,,315,,,52,14,,19,2020-03-22 06:40:01.627
41,108559,Romania,367,,315,,,52,14,,19,2020-03-22 06:50:02.568
42,108748,Romania,367,,315,,,52,14,,19,2020-03-22 07:00:01.882
43,108937,Romania,367,,315,,,52,14,,19,2020-03-22 07:10:01.602
44,109126,Romania,367,,315,,,52,14,,19,2020-03-22 07:20:01.725
45,109315,Romania,367,,315,,,52,14,,19,2020-03-22 07:30:02.517
46,109504,Romania,367,,315,,,52,14,,19,2020-03-22 07:40:02.004
47,109693,Romania,367,,315,,,52,14,,19,2020-03-22 07:50:01.639
48,109882,Romania,367,,315,,,52,14,,19,2020-03-22 08:00:02.288
49,110071,Romania,367,,315,,,52,14,,19,2020-03-22 08:10:01.955
50,110260,Romania,367,,315,,,52,14,,19,2020-03-22 08:20:02.461
51,110449,Romania,367,,315,,,52,14,,19,2020-03-22 08:30:01.924
52,110638,Romania,367,,315,,,52,14,,19,2020-03-22 08:40:02.277
53,110827,Romania,367,,315,,,52,14,,19,2020-03-22 08:50:01.998
54,111016,Romania,367,,315,,,52,14,,19,2020-03-22 09:00:02.386
55,111205,Romania,367,,315,,,52,14,,19,2020-03-22 09:10:02.333
56,111394,Romania,367,,315,,,52,14,,19,2020-03-22 09:20:01.679
57,111583,Romania,367,,315,,,52,14,,19,2020-03-22 09:30:01.858
58,111772,Romania,367,,315,,,52,14,,19,2020-03-22 09:40:02.077
59,111961,Romania,367,,315,,,52,14,,19,2020-03-22 09:50:02.389
60,112150,Romania,367,,315,,,52,14,,19,2020-03-22 10:00:01.658
61,112339,Romania,367,,315,,,52,14,,19,2020-03-22 10:10:02.03
62,112528,Romania,367,,315,,,52,14,,19,2020-03-22 10:20:02.283
63,112717,Romania,367,,315,,,52,14,,19,2020-03-22 10:30:02.203
64,112906,Romania,367,,315,,,52,14,,19,2020-03-22 10:50:02.099
65,113095,Romania,367,,315,,,52,14,,19,2020-03-22 11:00:01.809
66,113284,Romania,367,,315,,,52,14,,19,2020-03-22 11:10:02.337
67,113469,Romania,433,66,369,,,64,14,,23,2020-03-22 11:20:02.297
68,113658,Romania,433,66,367,2,2,64,14,,23,2020-03-22 11:30:02.571
69,113847,Romania,433,66,367,2,2,64,14,,23,2020-03-22 11:40:01.658
70,114036,Romania,433,66,367,2,2,64,14,,23,2020-03-22 11:50:02.534
71,114225,Romania,433,66,367,2,2,64,14,,23,2020-03-22 12:00:01.655
72,114414,Romania,433,66,367,2,2,64,14,,23,2020-03-22 12:10:02.323
73,114603,Romania,433,66,367,2,2,64,14,,23,2020-03-22 12:20:01.826
74,114792,Romania,433,66,367,2,2,64,14,,23,2020-03-22 12:30:02.517
75,114981,Romania,433,66,367,2,2,64,14,,23,2020-03-22 12:40:02.46
76,115170,Romania,433,66,367,2,2,64,14,,23,2020-03-22 12:50:02.108
77,115361,Romania,433,66,367,2,2,64,14,,23,2020-03-22 13:00:01.691
78,115550,Romania,433,66,367,2,2,64,14,,23,2020-03-22 13:10:01.964
79,115739,Romania,433,66,367,2,2,64,14,,23,2020-03-22 13:20:01.995
80,115928,Romania,433,66,367,2,2,64,14,,23,2020-03-22 13:30:02.353
81,116117,Romania,433,66,367,2,2,64,14,,23,2020-03-22 13:40:02.609
82,116306,Romania,433,66,367,2,2,64,14,,23,2020-03-22 13:50:01.753
83,116495,Romania,433,66,367,2,2,64,14,,23,2020-03-22 14:00:02.347
84,116684,Romania,433,66,367,2,2,64,14,,23,2020-03-22 14:10:02.014
85,116873,Romania,433,66,367,2,2,64,14,,23,2020-03-22 14:20:01.732
86,117062,Romania,433,66,367,2,2,64,14,,23,2020-03-22 14:30:02.279
87,117251,Romania,433,66,367,2,2,64,14,,23,2020-03-22 14:40:01.994
88,117440,Romania,433,66,367,2,2,64,14,,23,2020-03-22 14:50:01.896
89,117629,Romania,433,66,367,2,2,64,14,,23,2020-03-22 15:00:01.708
90,117818,Romania,433,66,367,2,2,64,14,,23,2020-03-22 15:10:01.808
91,118007,Romania,433,66,367,2,2,64,14,,23,2020-03-22 15:20:02.115
92,118196,Romania,433,66,367,2,2,64,14,,23,2020-03-22 15:30:02.542
93,118385,Romania,433,66,367,2,2,64,14,,23,2020-03-22 15:40:01.608
94,118574,Romania,433,66,367,2,2,64,14,,23,2020-03-22 15:50:02.028
95,118763,Romania,433,66,367,2,2,64,14,,23,2020-03-22 16:00:01.887
96,118952,Romania,433,66,367,2,2,64,14,,23,2020-03-22 16:10:02.607
97,119142,Romania,433,66,367,2,2,64,14,,23,2020-03-22 16:40:02.392
98,119332,Romania,433,66,367,2,2,64,14,,23,2020-03-22 16:50:02.248
99,119522,Romania,433,66,367,2,2,64,14,,23,2020-03-22 17:00:02.174
100,119712,Romania,433,66,367,2,2,64,14,,23,2020-03-22 17:10:01.966
101,119902,Romania,433,66,367,2,2,64,14,,23,2020-03-22 17:20:01.901
102,120092,Romania,433,66,367,2,2,64,14,,23,2020-03-22 17:30:03.26
103,120282,Romania,433,66,367,2,2,64,14,,23,2020-03-22 17:40:03.136
104,120472,Romania,433,66,367,2,2,64,14,,23,2020-03-22 17:50:01.957
105,120662,Romania,433,66,367,2,2,64,14,,23,2020-03-22 18:00:01.753
106,120852,Romania,433,66,367,2,2,64,14,,23,2020-03-22 18:10:02.492
107,121042,Romania,433,66,367,2,2,64,14,,23,2020-03-22 18:30:02.036
108,121232,Romania,433,66,367,2,2,64,14,,23,2020-03-22 18:40:02.238
109,121422,Romania,433,66,367,2,2,64,14,,23,2020-03-22 18:50:02.468
110,121612,Romania,433,66,367,2,2,64,14,,23,2020-03-22 19:00:01.712
111,121802,Romania,433,66,367,2,2,64,14,,23,2020-03-22 19:10:01.802
112,121992,Romania,433,66,367,2,2,64,14,,23,2020-03-22 19:20:01.774
113,122182,Romania,433,66,367,2,2,64,14,,23,2020-03-22 19:30:02.213
114,122373,Romania,433,66,367,2,2,64,14,,23,2020-03-22 19:40:02.298
115,122565,Romania,433,66,367,2,2,64,14,,23,2020-03-22 19:50:02.038
116,122757,Romania,433,66,366,3,3,64,14,,23,2020-03-22 20:00:02.199
117,122949,Romania,433,66,366,3,3,64,14,,23,2020-03-22 20:10:02.435
118,123141,Romania,433,66,366,3,3,64,14,,23,2020-03-22 20:20:01.689
119,123333,Romania,433,66,366,3,3,64,14,,23,2020-03-22 20:30:01.705
120,123525,Romania,433,66,366,3,3,64,14,,23,2020-03-22 20:40:02.242
121,123717,Romania,433,66,366,3,3,64,14,,23,2020-03-22 20:50:02.144
122,123909,Romania,433,66,366,3,3,64,14,,23,2020-03-22 21:00:01.651
123,124101,Romania,433,66,366,3,3,64,14,,23,2020-03-22 21:10:02.274
124,124294,Romania,433,66,366,3,3,64,14,,23,2020-03-22 21:20:02.379
125,124487,Romania,433,66,366,3,3,64,14,,23,2020-03-22 21:30:02.09
126,124680,Romania,433,66,366,3,3,64,14,,23,2020-03-22 21:40:02.262
127,124873,Romania,433,66,366,3,3,64,14,,23,2020-03-22 21:50:02.451
128,125066,Romania,433,66,366,3,3,64,14,,23,2020-03-22 22:00:02.593
129,125259,Romania,433,66,366,3,3,64,14,,23,2020-03-22 22:10:02.087
130,125452,Romania,433,66,366,3,3,64,14,,23,2020-03-22 22:20:01.881
131,125645,Romania,433,66,366,3,3,64,14,,23,2020-03-22 22:30:01.794
132,125838,Romania,433,66,366,3,3,64,14,,23,2020-03-22 22:40:01.8
133,126031,Romania,433,66,366,3,3,64,14,,23,2020-03-22 22:50:01.828
134,126224,Romania,433,66,366,3,3,64,14,,23,2020-03-22 23:00:02.502
135,126417,Romania,433,66,366,3,3,64,14,,23,2020-03-22 23:10:02.549
136,126610,Romania,433,66,366,3,3,64,14,,23,2020-03-22 23:20:01.891
137,126803,Romania,433,66,366,3,3,64,14,,23,2020-03-22 23:30:01.863
138,126996,Romania,433,66,366,3,3,64,14,,23,2020-03-22 23:40:02.207
139,127189,Romania,433,66,366,3,3,64,14,,23,2020-03-22 23:50:01.664
140,127382,Romania,433,66,366,3,3,64,14,,23,2020-03-23 00:00:02.179
141,127575,Romania,433,66,366,3,3,64,14,,23,2020-03-23 00:10:01.95
142,127768,Romania,433,66,366,3,3,64,14,,23,2020-03-23 00:20:02.492
143,127961,Romania,433,66,366,3,3,64,14,,23,2020-03-23 00:30:02.344
144,128154,Romania,433,66,366,3,3,64,14,,23,2020-03-23 00:40:01.875
145,128347,Romania,433,66,366,3,3,64,14,,23,2020-03-23 00:50:02.095
146,128540,Romania,433,66,366,3,3,64,14,,23,2020-03-23 01:00:02.319
147,128733,Romania,433,66,366,3,3,64,14,,23,2020-03-23 01:10:01.782
148,128926,Romania,433,66,366,3,3,64,14,,23,2020-03-23 01:20:02.43
149,129119,Romania,433,66,366,3,3,64,14,,23,2020-03-23 01:30:02.407
150,129312,Romania,433,66,366,3,3,64,14,,23,2020-03-23 01:40:02.085
151,129505,Romania,433,66,366,3,3,64,14,,23,2020-03-23 01:50:02.168
152,129698,Romania,433,66,366,3,3,64,14,,23,2020-03-23 02:00:02.269
153,129891,Romania,433,66,366,3,3,64,14,,23,2020-03-23 02:10:02.435
154,130084,Romania,433,66,366,3,3,64,14,,23,2020-03-23 02:20:02.448
155,130277,Romania,433,,366,3,,64,14,,23,2020-03-23 02:30:01.911
156,130470,Romania,433,,366,3,,64,14,,23,2020-03-23 02:40:01.69
157,130663,Romania,433,,366,3,,64,14,,23,2020-03-23 02:50:02.471
158,130856,Romania,433,,366,3,,64,14,,23,2020-03-23 03:00:01.655
159,131049,Romania,433,,366,3,,64,14,,23,2020-03-23 03:10:02.377
160,131242,Romania,433,,366,3,,64,14,,23,2020-03-23 03:20:02.558
161,131435,Romania,433,,366,3,,64,14,,23,2020-03-23 03:30:02.093
162,131628,Romania,433,,366,3,,64,14,,23,2020-03-23 03:40:01.746
163,131821,Romania,433,,366,3,,64,14,,23,2020-03-23 03:50:02.043
164,132014,Romania,433,,366,3,,64,14,,23,2020-03-23 04:00:02.36
165,132207,Romania,433,,366,3,,64,14,,23,2020-03-23 04:10:02.185
166,132400,Romania,433,,366,3,,64,14,,23,2020-03-23 04:20:02.316
167,132593,Romania,433,,366,3,,64,14,,23,2020-03-23 04:30:02.294
168,132786,Romania,433,,366,3,,64,14,,23,2020-03-23 04:40:01.894
169,132979,Romania,433,,366,3,,64,14,,23,2020-03-23 04:50:01.593
170,133172,Romania,433,,366,3,,64,14,,23,2020-03-23 05:00:02.347
171,133365,Romania,433,,366,3,,64,14,,23,2020-03-23 05:10:02.388
172,133558,Romania,433,,366,3,,64,14,,23,2020-03-23 05:20:02.591
173,133751,Romania,433,,366,3,,64,14,,23,2020-03-23 05:30:02.554
174,133944,Romania,433,,366,3,,64,14,,23,2020-03-23 05:40:02.191
175,134137,Romania,433,,366,3,,64,14,,23,2020-03-23 05:50:01.741
176,134330,Romania,433,,366,3,,64,14,,23,2020-03-23 06:00:01.967
