,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100891,Rwanda,17,,17,,,,,,1,2020-03-22 00:00:02.483
1,101080,Rwanda,17,,17,,,,,,1,2020-03-22 00:10:02.327
2,101269,Rwanda,17,,17,,,,,,1,2020-03-22 00:20:02.401
3,101458,Rwanda,17,,17,,,,,,1,2020-03-22 00:30:02.053
4,101647,Rwanda,17,,17,,,,,,1,2020-03-22 00:40:02.56
5,101836,Rwanda,17,,17,,,,,,1,2020-03-22 00:50:01.898
6,102025,Rwanda,17,,17,,,,,,1,2020-03-22 01:00:01.656
7,102214,Rwanda,17,,17,,,,,,1,2020-03-22 01:10:02.184
8,102403,Rwanda,17,,17,,,,,,1,2020-03-22 01:20:02.26
9,102592,Rwanda,17,,17,,,,,,1,2020-03-22 01:30:02.051
10,102781,Rwanda,17,,17,,,,,,1,2020-03-22 01:40:02.218
11,102970,Rwanda,17,,17,,,,,,1,2020-03-22 01:50:02.054
12,103159,Rwanda,17,,17,,,,,,1,2020-03-22 02:00:01.626
13,103348,Rwanda,17,,17,,,,,,1,2020-03-22 02:10:01.659
14,103537,Rwanda,17,,17,,,,,,1,2020-03-22 02:20:02.44
15,103726,Rwanda,17,,17,,,,,,1,2020-03-22 02:30:01.848
16,103915,Rwanda,17,,17,,,,,,1,2020-03-22 02:40:02.273
17,104104,Rwanda,17,,17,,,,,,1,2020-03-22 02:50:01.692
18,104293,Rwanda,17,,17,,,,,,1,2020-03-22 03:00:02.482
19,104482,Rwanda,17,,17,,,,,,1,2020-03-22 03:10:02.128
20,104671,Rwanda,17,,17,,,,,,1,2020-03-22 03:20:02.286
21,104860,Rwanda,17,,17,,,,,,1,2020-03-22 03:30:01.618
22,105049,Rwanda,17,,17,,,,,,1,2020-03-22 03:40:02.473
23,105238,Rwanda,17,,17,,,,,,1,2020-03-22 03:50:02.419
24,105427,Rwanda,17,,17,,,,,,1,2020-03-22 04:00:02.368
25,105616,Rwanda,17,,17,,,,,,1,2020-03-22 04:10:02.471
26,105805,Rwanda,17,,17,,,,,,1,2020-03-22 04:20:02.205
27,105994,Rwanda,17,,17,,,,,,1,2020-03-22 04:30:01.838
28,106183,Rwanda,17,,17,,,,,,1,2020-03-22 04:40:01.728
29,106372,Rwanda,17,,17,,,,,,1,2020-03-22 04:50:02.186
30,106561,Rwanda,17,,17,,,,,,1,2020-03-22 05:00:02.283
31,106750,Rwanda,17,,17,,,,,,1,2020-03-22 05:10:02.023
32,106939,Rwanda,17,,17,,,,,,1,2020-03-22 05:20:02.539
33,107128,Rwanda,17,,17,,,,,,1,2020-03-22 05:30:01.917
34,107317,Rwanda,17,,17,,,,,,1,2020-03-22 05:40:02.393
35,107506,Rwanda,17,,17,,,,,,1,2020-03-22 05:50:01.706
36,107695,Rwanda,17,,17,,,,,,1,2020-03-22 06:00:02.31
37,107884,Rwanda,17,,17,,,,,,1,2020-03-22 06:10:02.48
38,108073,Rwanda,17,,17,,,,,,1,2020-03-22 06:20:02.308
39,108262,Rwanda,17,,17,,,,,,1,2020-03-22 06:30:02.468
40,108451,Rwanda,17,,17,,,,,,1,2020-03-22 06:40:01.627
41,108640,Rwanda,17,,17,,,,,,1,2020-03-22 06:50:02.568
42,108829,Rwanda,17,,17,,,,,,1,2020-03-22 07:00:01.882
43,109018,Rwanda,17,,17,,,,,,1,2020-03-22 07:10:01.602
44,109207,Rwanda,17,,17,,,,,,1,2020-03-22 07:20:01.725
45,109396,Rwanda,17,,17,,,,,,1,2020-03-22 07:30:02.517
46,109585,Rwanda,17,,17,,,,,,1,2020-03-22 07:40:02.004
47,109774,Rwanda,17,,17,,,,,,1,2020-03-22 07:50:01.639
48,109963,Rwanda,17,,17,,,,,,1,2020-03-22 08:00:02.288
49,110152,Rwanda,17,,17,,,,,,1,2020-03-22 08:10:01.955
50,110341,Rwanda,17,,17,,,,,,1,2020-03-22 08:20:02.461
51,110530,Rwanda,17,,17,,,,,,1,2020-03-22 08:30:01.924
52,110719,Rwanda,17,,17,,,,,,1,2020-03-22 08:40:02.277
53,110908,Rwanda,17,,17,,,,,,1,2020-03-22 08:50:01.998
54,111097,Rwanda,17,,17,,,,,,1,2020-03-22 09:00:02.386
55,111286,Rwanda,17,,17,,,,,,1,2020-03-22 09:10:02.333
56,111475,Rwanda,17,,17,,,,,,1,2020-03-22 09:20:01.679
57,111664,Rwanda,17,,17,,,,,,1,2020-03-22 09:30:01.858
58,111853,Rwanda,17,,17,,,,,,1,2020-03-22 09:40:02.077
59,112042,Rwanda,17,,17,,,,,,1,2020-03-22 09:50:02.389
60,112231,Rwanda,17,,17,,,,,,1,2020-03-22 10:00:01.658
61,112420,Rwanda,17,,17,,,,,,1,2020-03-22 10:10:02.03
62,112609,Rwanda,17,,17,,,,,,1,2020-03-22 10:20:02.283
63,112798,Rwanda,17,,17,,,,,,1,2020-03-22 10:30:02.203
64,112987,Rwanda,17,,17,,,,,,1,2020-03-22 10:50:02.099
65,113176,Rwanda,17,,17,,,,,,1,2020-03-22 11:00:01.809
66,113365,Rwanda,17,,17,,,,,,1,2020-03-22 11:10:02.337
67,113554,Rwanda,17,,17,,,,,,1,2020-03-22 11:20:02.297
68,113743,Rwanda,17,,17,,,,,,1,2020-03-22 11:30:02.571
69,113933,Rwanda,17,,17,,,,,,1,2020-03-22 11:40:01.658
70,114122,Rwanda,17,,17,,,,,,1,2020-03-22 11:50:02.534
71,114312,Rwanda,17,,17,,,,,,1,2020-03-22 12:00:01.655
72,114501,Rwanda,17,,17,,,,,,1,2020-03-22 12:10:02.323
73,114690,Rwanda,17,,17,,,,,,1,2020-03-22 12:20:01.826
74,114879,Rwanda,17,,17,,,,,,1,2020-03-22 12:30:02.517
75,115068,Rwanda,17,,17,,,,,,1,2020-03-22 12:40:02.46
76,115257,Rwanda,17,,17,,,,,,1,2020-03-22 12:50:02.108
77,115446,Rwanda,17,,17,,,,,,1,2020-03-22 13:00:01.691
78,115635,Rwanda,17,,17,,,,,,1,2020-03-22 13:10:01.964
79,115824,Rwanda,17,,17,,,,,,1,2020-03-22 13:20:01.995
80,116013,Rwanda,17,,17,,,,,,1,2020-03-22 13:30:02.353
81,116202,Rwanda,17,,17,,,,,,1,2020-03-22 13:40:02.609
82,116391,Rwanda,17,,17,,,,,,1,2020-03-22 13:50:01.753
