,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,208404,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 22:00:02.458
1,208603,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 22:10:01.948
2,208802,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 22:20:02.428
3,209001,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 22:30:01.618
4,209200,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 22:40:01.759
5,209400,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 22:50:02.454
6,209599,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 23:00:02.058
7,209798,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 23:10:01.973
8,209997,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 23:20:02.316
9,210196,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 23:30:01.669
10,210395,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 23:40:01.638
11,210594,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-25 23:50:01.895
12,210793,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 00:00:02.024
13,210992,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 00:10:02.055
14,211191,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 00:20:02.497
15,211390,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 00:30:02.201
16,211589,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 00:40:02.53
17,211788,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 00:50:02.433
18,211987,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 01:00:01.731
19,212186,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 01:10:01.639
20,212385,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 01:20:02.335
21,212584,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 01:30:02.52
22,212783,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 01:40:02.555
23,212982,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 01:50:02.445
24,213181,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 02:00:01.693
25,213380,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 02:10:02.3
26,213579,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 02:20:02.024
27,213778,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 02:30:02.266
28,213977,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 02:40:01.898
29,214176,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 02:50:01.715
30,214375,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 03:00:01.872
31,214574,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 03:10:01.927
32,214773,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 03:20:02.236
33,214972,Saint Kitts and Nevis,2,2,2,,,,,,38,2020-03-26 03:30:02.212
34,215171,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 03:40:01.863
35,215370,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 03:50:01.644
36,215569,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 04:00:01.885
37,215768,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 05:10:02.516
38,215967,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 05:20:02.229
39,216166,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 05:30:02.258
40,216365,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 05:40:02.328
41,216564,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 05:50:02.171
42,216763,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 06:00:02.3
43,216962,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 06:10:01.785
44,217161,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 06:20:02.28
45,217360,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 06:30:02.028
46,217559,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 06:40:02.032
47,217758,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 06:50:02.115
48,217957,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 07:00:01.687
49,218156,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 07:10:01.742
50,218355,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 07:20:02.136
51,218554,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 07:30:02.338
52,218753,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 07:40:02.24
53,218952,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 07:50:02.188
54,219151,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 08:00:01.819
55,219350,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 08:10:02.248
56,219549,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 08:20:01.864
57,219748,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 08:30:02.584
58,219947,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 08:40:01.993
59,220146,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 08:50:01.704
60,220345,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 09:00:02.454
61,220544,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 09:10:02.533
62,220743,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 09:20:01.704
63,220942,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 09:30:02.265
64,221141,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 09:40:02.085
65,221340,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 09:50:02.519
66,221539,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 10:00:01.762
67,221738,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 10:10:02.021
68,221937,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 10:20:02.254
69,222136,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 10:30:01.999
70,222335,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 10:40:02.286
71,222534,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 10:50:02.017
72,222733,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 11:00:02.467
73,222932,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 11:10:01.902
74,223131,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 11:20:02.255
75,223330,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 11:30:01.707
76,223529,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 11:40:02.573
77,223728,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 11:50:01.958
78,223927,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 12:00:02.218
79,224126,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 12:10:02.575
80,224325,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 12:20:02.419
81,224524,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 12:30:02.573
82,224723,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 12:40:01.902
83,224922,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 12:50:01.602
84,225121,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 13:00:02.098
85,225320,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 13:10:01.981
86,225519,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 13:20:01.743
87,225718,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 13:30:01.935
88,225917,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 13:40:02.397
89,226116,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 13:50:01.829
90,226315,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 14:00:02.086
91,226514,Saint Kitts and Nevis,2,,2,,,,,,38,2020-03-26 14:10:02.195
