,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100939,Saint Lucia,2,,2,,,,,,11,2020-03-22 00:00:02.483
1,101128,Saint Lucia,2,,2,,,,,,11,2020-03-22 00:10:02.327
2,101317,Saint Lucia,2,,2,,,,,,11,2020-03-22 00:20:02.401
3,101506,Saint Lucia,2,,2,,,,,,11,2020-03-22 00:30:02.053
4,101695,Saint Lucia,2,,2,,,,,,11,2020-03-22 00:40:02.56
5,101884,Saint Lucia,2,,2,,,,,,11,2020-03-22 00:50:01.898
6,102073,Saint Lucia,2,,2,,,,,,11,2020-03-22 01:00:01.656
7,102262,Saint Lucia,2,,2,,,,,,11,2020-03-22 01:10:02.184
8,102451,Saint Lucia,2,,2,,,,,,11,2020-03-22 01:20:02.26
9,102640,Saint Lucia,2,,2,,,,,,11,2020-03-22 01:30:02.051
10,102829,Saint Lucia,2,,2,,,,,,11,2020-03-22 01:40:02.218
11,103018,Saint Lucia,2,,2,,,,,,11,2020-03-22 01:50:02.054
12,103207,Saint Lucia,2,,2,,,,,,11,2020-03-22 02:00:01.626
13,103396,Saint Lucia,2,,2,,,,,,11,2020-03-22 02:10:01.659
14,103585,Saint Lucia,2,,2,,,,,,11,2020-03-22 02:20:02.44
15,103774,Saint Lucia,2,,2,,,,,,11,2020-03-22 02:30:01.848
16,103963,Saint Lucia,2,,2,,,,,,11,2020-03-22 02:40:02.273
17,104152,Saint Lucia,2,,2,,,,,,11,2020-03-22 02:50:01.692
18,104341,Saint Lucia,2,,2,,,,,,11,2020-03-22 03:00:02.482
19,104530,Saint Lucia,2,,2,,,,,,11,2020-03-22 03:10:02.128
20,104719,Saint Lucia,2,,2,,,,,,11,2020-03-22 03:20:02.286
21,104908,Saint Lucia,2,,2,,,,,,11,2020-03-22 03:30:01.618
22,105097,Saint Lucia,2,,2,,,,,,11,2020-03-22 03:40:02.473
23,105286,Saint Lucia,2,,2,,,,,,11,2020-03-22 03:50:02.419
24,105475,Saint Lucia,2,,2,,,,,,11,2020-03-22 04:00:02.368
25,105664,Saint Lucia,2,,2,,,,,,11,2020-03-22 04:10:02.471
26,105853,Saint Lucia,2,,2,,,,,,11,2020-03-22 04:20:02.205
27,106042,Saint Lucia,2,,2,,,,,,11,2020-03-22 04:30:01.838
28,106232,Saint Lucia,2,,2,,,,,,11,2020-03-22 04:40:01.728
29,106421,Saint Lucia,2,,2,,,,,,11,2020-03-22 04:50:02.186
30,106610,Saint Lucia,2,,2,,,,,,11,2020-03-22 05:00:02.283
31,106799,Saint Lucia,2,,2,,,,,,11,2020-03-22 05:10:02.023
32,106988,Saint Lucia,2,,2,,,,,,11,2020-03-22 05:20:02.539
33,107177,Saint Lucia,2,,2,,,,,,11,2020-03-22 05:30:01.917
34,107366,Saint Lucia,2,,2,,,,,,11,2020-03-22 05:40:02.393
35,107555,Saint Lucia,2,,2,,,,,,11,2020-03-22 05:50:01.706
36,107744,Saint Lucia,2,,2,,,,,,11,2020-03-22 06:00:02.31
37,107933,Saint Lucia,2,,2,,,,,,11,2020-03-22 06:10:02.48
38,108122,Saint Lucia,2,,2,,,,,,11,2020-03-22 06:20:02.308
39,108311,Saint Lucia,2,,2,,,,,,11,2020-03-22 06:30:02.468
40,108500,Saint Lucia,2,,2,,,,,,11,2020-03-22 06:40:01.627
41,108689,Saint Lucia,2,,2,,,,,,11,2020-03-22 06:50:02.568
42,108878,Saint Lucia,2,,2,,,,,,11,2020-03-22 07:00:01.882
43,109067,Saint Lucia,2,,2,,,,,,11,2020-03-22 07:10:01.602
44,109256,Saint Lucia,2,,2,,,,,,11,2020-03-22 07:20:01.725
45,109445,Saint Lucia,2,,2,,,,,,11,2020-03-22 07:30:02.517
46,109634,Saint Lucia,2,,2,,,,,,11,2020-03-22 07:40:02.004
47,109823,Saint Lucia,2,,2,,,,,,11,2020-03-22 07:50:01.639
48,110012,Saint Lucia,2,,2,,,,,,11,2020-03-22 08:00:02.288
49,110201,Saint Lucia,2,,2,,,,,,11,2020-03-22 08:10:01.955
50,110390,Saint Lucia,2,,2,,,,,,11,2020-03-22 08:20:02.461
51,110579,Saint Lucia,2,,2,,,,,,11,2020-03-22 08:30:01.924
52,110768,Saint Lucia,2,,2,,,,,,11,2020-03-22 08:40:02.277
53,110957,Saint Lucia,2,,2,,,,,,11,2020-03-22 08:50:01.998
54,111146,Saint Lucia,2,,2,,,,,,11,2020-03-22 09:00:02.386
55,111335,Saint Lucia,2,,2,,,,,,11,2020-03-22 09:10:02.333
56,111524,Saint Lucia,2,,2,,,,,,11,2020-03-22 09:20:01.679
57,111713,Saint Lucia,2,,2,,,,,,11,2020-03-22 09:30:01.858
58,111902,Saint Lucia,2,,2,,,,,,11,2020-03-22 09:40:02.077
59,112091,Saint Lucia,2,,2,,,,,,11,2020-03-22 09:50:02.389
60,112280,Saint Lucia,2,,2,,,,,,11,2020-03-22 10:00:01.658
61,112469,Saint Lucia,2,,2,,,,,,11,2020-03-22 10:10:02.03
62,112658,Saint Lucia,2,,2,,,,,,11,2020-03-22 10:20:02.283
63,112847,Saint Lucia,2,,2,,,,,,11,2020-03-22 10:30:02.203
64,113036,Saint Lucia,2,,2,,,,,,11,2020-03-22 10:50:02.099
65,113225,Saint Lucia,2,,2,,,,,,11,2020-03-22 11:00:01.809
66,113414,Saint Lucia,2,,2,,,,,,11,2020-03-22 11:10:02.337
67,113603,Saint Lucia,2,,2,,,,,,11,2020-03-22 11:20:02.297
68,113792,Saint Lucia,2,,2,,,,,,11,2020-03-22 11:30:02.571
69,113981,Saint Lucia,2,,2,,,,,,11,2020-03-22 11:40:01.658
70,114170,Saint Lucia,2,,2,,,,,,11,2020-03-22 11:50:02.534
71,114359,Saint Lucia,2,,2,,,,,,11,2020-03-22 12:00:01.655
72,114548,Saint Lucia,2,,2,,,,,,11,2020-03-22 12:10:02.323
73,114737,Saint Lucia,2,,2,,,,,,11,2020-03-22 12:20:01.826
74,114926,Saint Lucia,2,,2,,,,,,11,2020-03-22 12:30:02.517
75,115115,Saint Lucia,2,,2,,,,,,11,2020-03-22 12:40:02.46
76,115305,Saint Lucia,2,,2,,,,,,11,2020-03-22 12:50:02.108
77,115494,Saint Lucia,2,,2,,,,,,11,2020-03-22 13:00:01.691
78,115683,Saint Lucia,2,,2,,,,,,11,2020-03-22 13:10:01.964
79,115872,Saint Lucia,2,,2,,,,,,11,2020-03-22 13:20:01.995
80,116061,Saint Lucia,2,,2,,,,,,11,2020-03-22 13:30:02.353
81,116251,Saint Lucia,2,,2,,,,,,11,2020-03-22 13:40:02.609
82,116440,Saint Lucia,2,,2,,,,,,11,2020-03-22 13:50:01.753
83,116630,Saint Lucia,2,,2,,,,,,11,2020-03-22 14:00:02.347
84,116819,Saint Lucia,2,,2,,,,,,11,2020-03-22 14:10:02.014
85,117008,Saint Lucia,2,,2,,,,,,11,2020-03-22 14:20:01.732
86,117197,Saint Lucia,2,,2,,,,,,11,2020-03-22 14:30:02.279
87,117386,Saint Lucia,2,,2,,,,,,11,2020-03-22 14:40:01.994
88,117575,Saint Lucia,2,,2,,,,,,11,2020-03-22 14:50:01.896
89,117764,Saint Lucia,2,,2,,,,,,11,2020-03-22 15:00:01.708
90,117953,Saint Lucia,2,,2,,,,,,11,2020-03-22 15:10:01.808
91,118141,Saint Lucia,2,,2,,,,,,11,2020-03-22 15:20:02.115
92,118330,Saint Lucia,2,,2,,,,,,11,2020-03-22 15:30:02.542
93,118519,Saint Lucia,2,,2,,,,,,11,2020-03-22 15:40:01.608
94,118708,Saint Lucia,2,,2,,,,,,11,2020-03-22 15:50:02.028
95,118897,Saint Lucia,2,,2,,,,,,11,2020-03-22 16:00:01.887
96,119086,Saint Lucia,2,,2,,,,,,11,2020-03-22 16:10:02.607
97,119276,Saint Lucia,2,,2,,,,,,11,2020-03-22 16:40:02.392
98,119466,Saint Lucia,2,,2,,,,,,11,2020-03-22 16:50:02.248
99,119656,Saint Lucia,2,,2,,,,,,11,2020-03-22 17:00:02.174
100,119846,Saint Lucia,2,,2,,,,,,11,2020-03-22 17:10:01.966
101,120036,Saint Lucia,2,,2,,,,,,11,2020-03-22 17:20:01.901
102,120226,Saint Lucia,2,,2,,,,,,11,2020-03-22 17:30:03.26
103,120416,Saint Lucia,2,,2,,,,,,11,2020-03-22 17:40:03.136
104,120606,Saint Lucia,2,,2,,,,,,11,2020-03-22 17:50:01.957
105,120796,Saint Lucia,2,,2,,,,,,11,2020-03-22 18:00:01.753
106,120986,Saint Lucia,2,,2,,,,,,11,2020-03-22 18:10:02.492
107,121176,Saint Lucia,2,,2,,,,,,11,2020-03-22 18:30:02.036
108,121366,Saint Lucia,2,,2,,,,,,11,2020-03-22 18:40:02.238
109,121556,Saint Lucia,2,,2,,,,,,11,2020-03-22 18:50:02.468
110,121746,Saint Lucia,2,,2,,,,,,11,2020-03-22 19:00:01.712
111,121936,Saint Lucia,2,,2,,,,,,11,2020-03-22 19:10:01.802
112,122126,Saint Lucia,2,,2,,,,,,11,2020-03-22 19:20:01.774
113,122316,Saint Lucia,2,,2,,,,,,11,2020-03-22 19:30:02.213
114,122507,Saint Lucia,2,,2,,,,,,11,2020-03-22 19:40:02.298
115,122699,Saint Lucia,2,,2,,,,,,11,2020-03-22 19:50:02.038
116,122891,Saint Lucia,2,,2,,,,,,11,2020-03-22 20:00:02.199
117,123083,Saint Lucia,2,,2,,,,,,11,2020-03-22 20:10:02.435
118,123275,Saint Lucia,2,,2,,,,,,11,2020-03-22 20:20:01.689
119,123467,Saint Lucia,2,,2,,,,,,11,2020-03-22 20:30:01.705
120,123659,Saint Lucia,2,,2,,,,,,11,2020-03-22 20:40:02.242
121,123851,Saint Lucia,2,,2,,,,,,11,2020-03-22 20:50:02.144
122,124043,Saint Lucia,2,,2,,,,,,11,2020-03-22 21:00:01.651
123,124235,Saint Lucia,2,,2,,,,,,11,2020-03-22 21:10:02.274
124,124428,Saint Lucia,2,,2,,,,,,11,2020-03-22 21:20:02.379
125,124621,Saint Lucia,2,,2,,,,,,11,2020-03-22 21:30:02.09
126,124814,Saint Lucia,2,,2,,,,,,11,2020-03-22 21:40:02.262
127,125007,Saint Lucia,2,,2,,,,,,11,2020-03-22 21:50:02.451
