,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100912,Saint Martin,5,1,5,,,,,,129,2020-03-22 00:00:02.483
1,101101,Saint Martin,5,1,5,,,,,,129,2020-03-22 00:10:02.327
2,101290,Saint Martin,5,1,5,,,,,,129,2020-03-22 00:20:02.401
3,101479,Saint Martin,5,1,5,,,,,,129,2020-03-22 00:30:02.053
4,101668,Saint Martin,5,1,5,,,,,,129,2020-03-22 00:40:02.56
5,101857,Saint Martin,5,1,5,,,,,,129,2020-03-22 00:50:01.898
6,102046,Saint Martin,5,1,5,,,,,,129,2020-03-22 01:00:01.656
7,102235,Saint Martin,5,1,5,,,,,,129,2020-03-22 01:10:02.184
8,102424,Saint Martin,5,1,5,,,,,,129,2020-03-22 01:20:02.26
9,102613,Saint Martin,5,1,5,,,,,,129,2020-03-22 01:30:02.051
10,102802,Saint Martin,5,1,5,,,,,,129,2020-03-22 01:40:02.218
11,102991,Saint Martin,5,1,5,,,,,,129,2020-03-22 01:50:02.054
12,103180,Saint Martin,5,1,5,,,,,,129,2020-03-22 02:00:01.626
13,103369,Saint Martin,5,1,5,,,,,,129,2020-03-22 02:10:01.659
14,103558,Saint Martin,5,1,5,,,,,,129,2020-03-22 02:20:02.44
15,103747,Saint Martin,5,1,5,,,,,,129,2020-03-22 02:30:01.848
16,103936,Saint Martin,5,1,5,,,,,,129,2020-03-22 02:40:02.273
17,104125,Saint Martin,5,1,5,,,,,,129,2020-03-22 02:50:01.692
18,104314,Saint Martin,5,1,5,,,,,,129,2020-03-22 03:00:02.482
19,104503,Saint Martin,5,1,5,,,,,,129,2020-03-22 03:10:02.128
20,104692,Saint Martin,5,1,5,,,,,,129,2020-03-22 03:20:02.286
21,104881,Saint Martin,5,,5,,,,,,129,2020-03-22 03:30:01.618
22,105070,Saint Martin,5,,5,,,,,,129,2020-03-22 03:40:02.473
23,105259,Saint Martin,5,,5,,,,,,129,2020-03-22 03:50:02.419
24,105448,Saint Martin,5,,5,,,,,,129,2020-03-22 04:00:02.368
25,105637,Saint Martin,5,,5,,,,,,129,2020-03-22 04:10:02.471
26,105826,Saint Martin,5,,5,,,,,,129,2020-03-22 04:20:02.205
27,106015,Saint Martin,5,,5,,,,,,129,2020-03-22 04:30:01.838
28,106204,Saint Martin,5,,5,,,,,,129,2020-03-22 04:40:01.728
29,106393,Saint Martin,5,,5,,,,,,129,2020-03-22 04:50:02.186
30,106582,Saint Martin,5,,5,,,,,,129,2020-03-22 05:00:02.283
31,106771,Saint Martin,5,,5,,,,,,129,2020-03-22 05:10:02.023
32,106960,Saint Martin,5,,5,,,,,,129,2020-03-22 05:20:02.539
33,107149,Saint Martin,5,,5,,,,,,129,2020-03-22 05:30:01.917
34,107338,Saint Martin,5,,5,,,,,,129,2020-03-22 05:40:02.393
35,107527,Saint Martin,5,,5,,,,,,129,2020-03-22 05:50:01.706
36,107716,Saint Martin,5,,5,,,,,,129,2020-03-22 06:00:02.31
37,107905,Saint Martin,5,,5,,,,,,129,2020-03-22 06:10:02.48
38,108094,Saint Martin,5,,5,,,,,,129,2020-03-22 06:20:02.308
39,108283,Saint Martin,5,,5,,,,,,129,2020-03-22 06:30:02.468
40,108472,Saint Martin,5,,5,,,,,,129,2020-03-22 06:40:01.627
41,108661,Saint Martin,5,,5,,,,,,129,2020-03-22 06:50:02.568
42,108850,Saint Martin,5,,5,,,,,,129,2020-03-22 07:00:01.882
43,109039,Saint Martin,5,,5,,,,,,129,2020-03-22 07:10:01.602
44,109228,Saint Martin,5,,5,,,,,,129,2020-03-22 07:20:01.725
45,109417,Saint Martin,5,,5,,,,,,129,2020-03-22 07:30:02.517
46,109606,Saint Martin,5,,5,,,,,,129,2020-03-22 07:40:02.004
47,109795,Saint Martin,5,,5,,,,,,129,2020-03-22 07:50:01.639
48,109984,Saint Martin,5,,5,,,,,,129,2020-03-22 08:00:02.288
49,110173,Saint Martin,5,,5,,,,,,129,2020-03-22 08:10:01.955
50,110362,Saint Martin,5,,5,,,,,,129,2020-03-22 08:20:02.461
51,110551,Saint Martin,5,,5,,,,,,129,2020-03-22 08:30:01.924
52,110740,Saint Martin,5,,5,,,,,,129,2020-03-22 08:40:02.277
53,110929,Saint Martin,5,,5,,,,,,129,2020-03-22 08:50:01.998
54,111118,Saint Martin,5,,5,,,,,,129,2020-03-22 09:00:02.386
55,111307,Saint Martin,5,,5,,,,,,129,2020-03-22 09:10:02.333
56,111496,Saint Martin,5,,5,,,,,,129,2020-03-22 09:20:01.679
57,111685,Saint Martin,5,,5,,,,,,129,2020-03-22 09:30:01.858
58,111874,Saint Martin,5,,5,,,,,,129,2020-03-22 09:40:02.077
59,112063,Saint Martin,5,,5,,,,,,129,2020-03-22 09:50:02.389
60,112252,Saint Martin,5,,5,,,,,,129,2020-03-22 10:00:01.658
61,112441,Saint Martin,5,,5,,,,,,129,2020-03-22 10:10:02.03
62,112630,Saint Martin,5,,5,,,,,,129,2020-03-22 10:20:02.283
63,112819,Saint Martin,5,,5,,,,,,129,2020-03-22 10:30:02.203
64,113008,Saint Martin,5,,5,,,,,,129,2020-03-22 10:50:02.099
65,113197,Saint Martin,5,,5,,,,,,129,2020-03-22 11:00:01.809
66,113386,Saint Martin,5,,5,,,,,,129,2020-03-22 11:10:02.337
67,113575,Saint Martin,5,,5,,,,,,129,2020-03-22 11:20:02.297
68,113764,Saint Martin,5,,5,,,,,,129,2020-03-22 11:30:02.571
69,113954,Saint Martin,5,,5,,,,,,129,2020-03-22 11:40:01.658
70,114143,Saint Martin,5,,5,,,,,,129,2020-03-22 11:50:02.534
71,114332,Saint Martin,5,,5,,,,,,129,2020-03-22 12:00:01.655
72,114521,Saint Martin,5,,5,,,,,,129,2020-03-22 12:10:02.323
73,114710,Saint Martin,5,,5,,,,,,129,2020-03-22 12:20:01.826
74,114899,Saint Martin,5,,5,,,,,,129,2020-03-22 12:30:02.517
75,115088,Saint Martin,5,,5,,,,,,129,2020-03-22 12:40:02.46
