,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100829,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 00:00:02.483
1,101018,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 00:10:02.327
2,101207,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 00:20:02.401
3,101396,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 00:30:02.053
4,101585,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 00:40:02.56
5,101774,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 00:50:01.898
6,101963,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 01:00:01.656
7,102152,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 01:10:02.184
8,102341,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 01:20:02.26
9,102530,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 01:30:02.051
10,102719,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 01:40:02.218
11,102908,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 01:50:02.054
12,103097,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 02:00:01.626
13,103286,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 02:10:01.659
14,103475,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 02:20:02.44
15,103664,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 02:30:01.848
16,103853,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 02:40:02.273
17,104042,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 02:50:01.692
18,104231,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 03:00:02.482
19,104420,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 03:10:02.128
20,104609,San Marino,160,9,136,20,6,4,12,,"4,715",2020-03-22 03:20:02.286
21,104798,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 03:30:01.618
22,104988,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 03:40:02.473
23,105177,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 03:50:02.419
24,105366,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 04:00:02.368
25,105555,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 04:10:02.471
26,105744,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 04:20:02.205
27,105933,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 04:30:01.838
28,106122,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 04:40:01.728
29,106311,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 04:50:02.186
30,106500,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 05:00:02.283
31,106689,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 05:10:02.023
32,106878,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 05:20:02.539
33,107067,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 05:30:01.917
34,107256,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 05:40:02.393
35,107445,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 05:50:01.706
36,107634,San Marino,160,,136,20,,4,12,,"4,715",2020-03-22 06:00:02.31
