,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100807,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 00:00:02.483
1,100996,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 00:10:02.327
2,101185,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 00:20:02.401
3,101374,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 00:30:02.053
4,101563,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 00:40:02.56
5,101752,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 00:50:01.898
6,101941,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 01:00:01.656
7,102130,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 01:10:02.184
8,102319,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 01:20:02.26
9,102508,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 01:30:02.051
10,102697,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 01:40:02.218
11,102886,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 01:50:02.054
12,103075,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 02:00:01.626
13,103264,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 02:10:01.659
14,103453,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 02:20:02.44
15,103642,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 02:30:01.848
16,103831,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 02:40:02.273
17,104020,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 02:50:01.692
18,104209,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 03:00:02.482
19,104398,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 03:10:02.128
20,104587,Saudi Arabia,392,48,376,,,16,,,11,2020-03-22 03:20:02.286
21,104776,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 03:30:01.618
22,104965,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 03:40:02.473
23,105154,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 03:50:02.419
24,105343,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 04:00:02.368
25,105532,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 04:10:02.471
26,105721,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 04:20:02.205
27,105910,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 04:30:01.838
28,106099,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 04:40:01.728
29,106288,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 04:50:02.186
30,106477,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 05:00:02.283
31,106666,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 05:10:02.023
32,106855,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 05:20:02.539
33,107044,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 05:30:01.917
34,107233,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 05:40:02.393
35,107422,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 05:50:01.706
36,107611,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 06:00:02.31
37,107800,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 06:10:02.48
38,107989,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 06:20:02.308
39,108178,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 06:30:02.468
40,108367,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 06:40:01.627
41,108556,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 06:50:02.568
42,108745,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 07:00:01.882
43,108934,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 07:10:01.602
44,109123,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 07:20:01.725
45,109312,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 07:30:02.517
46,109501,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 07:40:02.004
47,109690,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 07:50:01.639
48,109879,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 08:00:02.288
49,110068,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 08:10:01.955
50,110257,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 08:20:02.461
51,110446,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 08:30:01.924
52,110635,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 08:40:02.277
53,110824,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 08:50:01.998
54,111013,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 09:00:02.386
55,111202,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 09:10:02.333
56,111391,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 09:20:01.679
57,111580,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 09:30:01.858
58,111769,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 09:40:02.077
59,111958,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 09:50:02.389
60,112147,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 10:00:01.658
61,112336,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 10:10:02.03
62,112525,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 10:20:02.283
63,112714,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 10:30:02.203
64,112903,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 10:50:02.099
65,113092,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 11:00:01.809
66,113281,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 11:10:02.337
67,113471,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 11:20:02.297
68,113660,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 11:30:02.571
69,113849,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 11:40:01.658
70,114038,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 11:50:02.534
71,114227,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 12:00:01.655
72,114416,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 12:10:02.323
73,114605,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 12:20:01.826
74,114794,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 12:30:02.517
75,114983,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 12:40:02.46
76,115172,Saudi Arabia,392,,376,,,16,,,11,2020-03-22 12:50:02.108
77,115358,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 13:00:01.691
78,115547,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 13:10:01.964
79,115736,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 13:20:01.995
80,115925,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 13:30:02.353
81,116114,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 13:40:02.609
82,116303,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 13:50:01.753
83,116492,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 14:00:02.347
84,116681,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 14:10:02.014
85,116870,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 14:20:01.732
86,117059,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 14:30:02.279
87,117248,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 14:40:01.994
88,117437,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 14:50:01.896
89,117626,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 15:00:01.708
90,117815,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 15:10:01.808
91,118004,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 15:20:02.115
92,118193,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 15:30:02.542
93,118382,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 15:40:01.608
94,118571,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 15:50:02.028
95,118760,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 16:00:01.887
96,118949,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 16:10:02.607
97,119139,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 16:40:02.392
98,119329,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 16:50:02.248
99,119519,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 17:00:02.174
100,119709,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 17:10:01.966
101,119899,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 17:20:01.901
102,120089,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 17:30:03.26
103,120279,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 17:40:03.136
104,120469,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 17:50:01.957
105,120659,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 18:00:01.753
106,120849,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 18:10:02.492
107,121039,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 18:30:02.036
108,121229,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 18:40:02.238
109,121419,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 18:50:02.468
110,121609,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 19:00:01.712
111,121799,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 19:10:01.802
112,121989,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 19:20:01.774
113,122179,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 19:30:02.213
114,122370,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 19:40:02.298
115,122562,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 19:50:02.038
116,122754,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 20:00:02.199
117,122946,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 20:10:02.435
118,123138,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 20:20:01.689
119,123330,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 20:30:01.705
120,123522,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 20:40:02.242
121,123714,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 20:50:02.144
122,123906,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 21:00:01.651
123,124098,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 21:10:02.274
124,124291,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 21:20:02.379
125,124484,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 21:30:02.09
126,124677,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 21:40:02.262
127,124870,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 21:50:02.451
128,125063,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 22:00:02.593
129,125256,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 22:10:02.087
130,125449,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 22:20:01.881
131,125642,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 22:30:01.794
132,125835,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 22:40:01.8
133,126028,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 22:50:01.828
134,126221,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 23:00:02.502
135,126414,Saudi Arabia,511,119,494,,,17,,,15,2020-03-22 23:10:02.549
