,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100827,Serbia,171,36,168,1,,2,4,,20,2020-03-22 00:00:02.483
1,101016,Serbia,171,36,168,1,,2,4,,20,2020-03-22 00:10:02.327
2,101205,Serbia,171,36,168,1,,2,4,,20,2020-03-22 00:20:02.401
3,101394,Serbia,171,36,168,1,,2,4,,20,2020-03-22 00:30:02.053
4,101583,Serbia,171,36,168,1,,2,4,,20,2020-03-22 00:40:02.56
5,101772,Serbia,171,36,168,1,,2,4,,20,2020-03-22 00:50:01.898
6,101961,Serbia,171,36,168,1,,2,4,,20,2020-03-22 01:00:01.656
7,102150,Serbia,171,36,168,1,,2,4,,20,2020-03-22 01:10:02.184
8,102339,Serbia,171,36,168,1,,2,4,,20,2020-03-22 01:20:02.26
9,102528,Serbia,171,36,168,1,,2,4,,20,2020-03-22 01:30:02.051
10,102717,Serbia,171,36,168,1,,2,4,,20,2020-03-22 01:40:02.218
11,102906,Serbia,171,36,168,1,,2,4,,20,2020-03-22 01:50:02.054
12,103095,Serbia,171,36,168,1,,2,4,,20,2020-03-22 02:00:01.626
13,103284,Serbia,171,36,168,1,,2,4,,20,2020-03-22 02:10:01.659
14,103473,Serbia,171,36,168,1,,2,4,,20,2020-03-22 02:20:02.44
15,103662,Serbia,171,36,168,1,,2,4,,20,2020-03-22 02:30:01.848
16,103851,Serbia,171,36,168,1,,2,4,,20,2020-03-22 02:40:02.273
17,104040,Serbia,171,36,168,1,,2,4,,20,2020-03-22 02:50:01.692
18,104229,Serbia,171,36,168,1,,2,4,,20,2020-03-22 03:00:02.482
19,104418,Serbia,171,36,168,1,,2,4,,20,2020-03-22 03:10:02.128
20,104607,Serbia,171,36,168,1,,2,4,,20,2020-03-22 03:20:02.286
21,104796,Serbia,171,,168,1,,2,4,,20,2020-03-22 03:30:01.618
22,104986,Serbia,171,,168,1,,2,4,,20,2020-03-22 03:40:02.473
23,105175,Serbia,171,,168,1,,2,4,,20,2020-03-22 03:50:02.419
24,105364,Serbia,171,,168,1,,2,4,,20,2020-03-22 04:00:02.368
25,105553,Serbia,171,,168,1,,2,4,,20,2020-03-22 04:10:02.471
26,105742,Serbia,171,,168,1,,2,4,,20,2020-03-22 04:20:02.205
27,105931,Serbia,171,,168,1,,2,4,,20,2020-03-22 04:30:01.838
28,106120,Serbia,171,,168,1,,2,4,,20,2020-03-22 04:40:01.728
29,106309,Serbia,171,,168,1,,2,4,,20,2020-03-22 04:50:02.186
30,106498,Serbia,171,,168,1,,2,4,,20,2020-03-22 05:00:02.283
31,106687,Serbia,171,,168,1,,2,4,,20,2020-03-22 05:10:02.023
32,106876,Serbia,171,,168,1,,2,4,,20,2020-03-22 05:20:02.539
33,107065,Serbia,171,,168,1,,2,4,,20,2020-03-22 05:30:01.917
34,107254,Serbia,171,,168,1,,2,4,,20,2020-03-22 05:40:02.393
35,107443,Serbia,171,,168,1,,2,4,,20,2020-03-22 05:50:01.706
36,107632,Serbia,171,,168,1,,2,4,,20,2020-03-22 06:00:02.31
37,107821,Serbia,171,,168,1,,2,4,,20,2020-03-22 06:10:02.48
38,108011,Serbia,171,,168,1,,2,4,,20,2020-03-22 06:20:02.308
39,108200,Serbia,171,,168,1,,2,4,,20,2020-03-22 06:30:02.468
40,108389,Serbia,171,,168,1,,2,4,,20,2020-03-22 06:40:01.627
41,108578,Serbia,171,,168,1,,2,4,,20,2020-03-22 06:50:02.568
42,108767,Serbia,171,,168,1,,2,4,,20,2020-03-22 07:00:01.882
43,108954,Serbia,188,17,185,1,,2,4,,22,2020-03-22 07:10:01.602
44,109143,Serbia,188,17,185,1,,2,4,,22,2020-03-22 07:20:01.725
45,109332,Serbia,188,17,185,1,,2,4,,22,2020-03-22 07:30:02.517
46,109521,Serbia,188,17,185,1,,2,4,,22,2020-03-22 07:40:02.004
47,109710,Serbia,188,17,185,1,,2,4,,22,2020-03-22 07:50:01.639
48,109899,Serbia,188,17,185,1,,2,4,,22,2020-03-22 08:00:02.288
49,110088,Serbia,188,17,185,1,,2,4,,22,2020-03-22 08:10:01.955
50,110277,Serbia,188,17,185,1,,2,4,,22,2020-03-22 08:20:02.461
51,110466,Serbia,188,17,185,1,,2,4,,22,2020-03-22 08:30:01.924
52,110655,Serbia,188,17,185,1,,2,4,,22,2020-03-22 08:40:02.277
53,110844,Serbia,188,17,185,1,,2,4,,22,2020-03-22 08:50:01.998
54,111033,Serbia,188,17,185,1,,2,4,,22,2020-03-22 09:00:02.386
55,111222,Serbia,188,17,185,1,,2,4,,22,2020-03-22 09:10:02.333
56,111411,Serbia,188,17,185,1,,2,4,,22,2020-03-22 09:20:01.679
57,111600,Serbia,188,17,185,1,,2,4,,22,2020-03-22 09:30:01.858
58,111789,Serbia,188,17,185,1,,2,4,,22,2020-03-22 09:40:02.077
59,111978,Serbia,188,17,185,1,,2,4,,22,2020-03-22 09:50:02.389
60,112167,Serbia,188,17,185,1,,2,4,,22,2020-03-22 10:00:01.658
61,112356,Serbia,188,17,185,1,,2,4,,22,2020-03-22 10:10:02.03
62,112545,Serbia,188,17,185,1,,2,4,,22,2020-03-22 10:20:02.283
63,112734,Serbia,188,17,185,1,,2,4,,22,2020-03-22 10:30:02.203
64,112923,Serbia,188,17,185,1,,2,4,,22,2020-03-22 10:50:02.099
65,113112,Serbia,188,17,185,1,,2,4,,22,2020-03-22 11:00:01.809
66,113301,Serbia,188,17,185,1,,2,4,,22,2020-03-22 11:10:02.337
67,113490,Serbia,188,17,185,1,,2,4,,22,2020-03-22 11:20:02.297
68,113679,Serbia,188,17,185,1,,2,4,,22,2020-03-22 11:30:02.571
69,113868,Serbia,188,17,185,1,,2,4,,22,2020-03-22 11:40:01.658
70,114057,Serbia,188,17,185,1,,2,4,,22,2020-03-22 11:50:02.534
71,114246,Serbia,188,17,185,1,,2,4,,22,2020-03-22 12:00:01.655
72,114435,Serbia,188,17,185,1,,2,4,,22,2020-03-22 12:10:02.323
73,114624,Serbia,188,17,185,1,,2,4,,22,2020-03-22 12:20:01.826
74,114813,Serbia,188,17,185,1,,2,4,,22,2020-03-22 12:30:02.517
75,115002,Serbia,188,17,185,1,,2,4,,22,2020-03-22 12:40:02.46
76,115191,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 12:50:02.108
77,115380,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 13:00:01.691
78,115569,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 13:10:01.964
79,115758,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 13:20:01.995
80,115947,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 13:30:02.353
81,116136,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 13:40:02.609
82,116325,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 13:50:01.753
83,116514,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 14:00:02.347
84,116703,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 14:10:02.014
85,116892,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 14:20:01.732
86,117082,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 14:30:02.279
87,117271,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 14:40:01.994
88,117460,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 14:50:01.896
89,117649,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 15:00:01.708
90,117838,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 15:10:01.808
91,118027,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 15:20:02.115
92,118216,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 15:30:02.542
93,118405,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 15:40:01.608
94,118594,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 15:50:02.028
95,118783,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 16:00:01.887
96,118973,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 16:10:02.607
97,119163,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 16:40:02.392
98,119353,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 16:50:02.248
99,119543,Serbia,188,17,184,2,1,2,4,,22,2020-03-22 17:00:02.174
100,119730,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 17:10:01.966
101,119920,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 17:20:01.901
102,120110,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 17:30:03.26
103,120300,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 17:40:03.136
104,120490,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 17:50:01.957
105,120680,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 18:00:01.753
106,120870,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 18:10:02.492
107,121060,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 18:30:02.036
108,121250,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 18:40:02.238
109,121440,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 18:50:02.468
110,121630,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 19:00:01.712
111,121820,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 19:10:01.802
112,122010,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 19:20:01.774
113,122200,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 19:30:02.213
114,122391,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 19:40:02.298
115,122583,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 19:50:02.038
116,122775,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 20:00:02.199
117,122967,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 20:10:02.435
118,123159,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 20:20:01.689
119,123351,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 20:30:01.705
120,123543,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 20:40:02.242
121,123735,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 20:50:02.144
122,123927,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 21:00:01.651
123,124119,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 21:10:02.274
124,124312,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 21:20:02.379
125,124505,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 21:30:02.09
126,124698,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 21:40:02.262
127,124891,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 21:50:02.451
128,125084,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 22:00:02.593
129,125277,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 22:10:02.087
130,125470,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 22:20:01.881
131,125663,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 22:30:01.794
132,125856,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 22:40:01.8
133,126049,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 22:50:01.828
134,126242,Serbia,222,51,218,2,1,2,4,,25,2020-03-22 23:00:02.502
