,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100906,Seychelles,7,,7,,,,,,71,2020-03-22 00:00:02.483
1,101095,Seychelles,7,,7,,,,,,71,2020-03-22 00:10:02.327
2,101284,Seychelles,7,,7,,,,,,71,2020-03-22 00:20:02.401
3,101473,Seychelles,7,,7,,,,,,71,2020-03-22 00:30:02.053
4,101662,Seychelles,7,,7,,,,,,71,2020-03-22 00:40:02.56
5,101851,Seychelles,7,,7,,,,,,71,2020-03-22 00:50:01.898
6,102040,Seychelles,7,,7,,,,,,71,2020-03-22 01:00:01.656
7,102229,Seychelles,7,,7,,,,,,71,2020-03-22 01:10:02.184
8,102418,Seychelles,7,,7,,,,,,71,2020-03-22 01:20:02.26
9,102607,Seychelles,7,,7,,,,,,71,2020-03-22 01:30:02.051
10,102796,Seychelles,7,,7,,,,,,71,2020-03-22 01:40:02.218
11,102985,Seychelles,7,,7,,,,,,71,2020-03-22 01:50:02.054
12,103174,Seychelles,7,,7,,,,,,71,2020-03-22 02:00:01.626
13,103363,Seychelles,7,,7,,,,,,71,2020-03-22 02:10:01.659
14,103552,Seychelles,7,,7,,,,,,71,2020-03-22 02:20:02.44
15,103741,Seychelles,7,,7,,,,,,71,2020-03-22 02:30:01.848
16,103930,Seychelles,7,,7,,,,,,71,2020-03-22 02:40:02.273
17,104119,Seychelles,7,,7,,,,,,71,2020-03-22 02:50:01.692
18,104308,Seychelles,7,,7,,,,,,71,2020-03-22 03:00:02.482
19,104497,Seychelles,7,,7,,,,,,71,2020-03-22 03:10:02.128
20,104686,Seychelles,7,,7,,,,,,71,2020-03-22 03:20:02.286
21,104875,Seychelles,7,,7,,,,,,71,2020-03-22 03:30:01.618
22,105064,Seychelles,7,,7,,,,,,71,2020-03-22 03:40:02.473
23,105253,Seychelles,7,,7,,,,,,71,2020-03-22 03:50:02.419
24,105442,Seychelles,7,,7,,,,,,71,2020-03-22 04:00:02.368
25,105631,Seychelles,7,,7,,,,,,71,2020-03-22 04:10:02.471
26,105820,Seychelles,7,,7,,,,,,71,2020-03-22 04:20:02.205
27,106009,Seychelles,7,,7,,,,,,71,2020-03-22 04:30:01.838
28,106199,Seychelles,7,,7,,,,,,71,2020-03-22 04:40:01.728
29,106388,Seychelles,7,,7,,,,,,71,2020-03-22 04:50:02.186
30,106577,Seychelles,7,,7,,,,,,71,2020-03-22 05:00:02.283
31,106766,Seychelles,7,,7,,,,,,71,2020-03-22 05:10:02.023
32,106955,Seychelles,7,,7,,,,,,71,2020-03-22 05:20:02.539
33,107144,Seychelles,7,,7,,,,,,71,2020-03-22 05:30:01.917
34,107333,Seychelles,7,,7,,,,,,71,2020-03-22 05:40:02.393
35,107522,Seychelles,7,,7,,,,,,71,2020-03-22 05:50:01.706
36,107711,Seychelles,7,,7,,,,,,71,2020-03-22 06:00:02.31
37,107900,Seychelles,7,,7,,,,,,71,2020-03-22 06:10:02.48
38,108089,Seychelles,7,,7,,,,,,71,2020-03-22 06:20:02.308
39,108278,Seychelles,7,,7,,,,,,71,2020-03-22 06:30:02.468
40,108467,Seychelles,7,,7,,,,,,71,2020-03-22 06:40:01.627
41,108656,Seychelles,7,,7,,,,,,71,2020-03-22 06:50:02.568
42,108845,Seychelles,7,,7,,,,,,71,2020-03-22 07:00:01.882
43,109034,Seychelles,7,,7,,,,,,71,2020-03-22 07:10:01.602
44,109223,Seychelles,7,,7,,,,,,71,2020-03-22 07:20:01.725
45,109412,Seychelles,7,,7,,,,,,71,2020-03-22 07:30:02.517
46,109601,Seychelles,7,,7,,,,,,71,2020-03-22 07:40:02.004
47,109790,Seychelles,7,,7,,,,,,71,2020-03-22 07:50:01.639
48,109979,Seychelles,7,,7,,,,,,71,2020-03-22 08:00:02.288
49,110168,Seychelles,7,,7,,,,,,71,2020-03-22 08:10:01.955
50,110357,Seychelles,7,,7,,,,,,71,2020-03-22 08:20:02.461
51,110546,Seychelles,7,,7,,,,,,71,2020-03-22 08:30:01.924
52,110735,Seychelles,7,,7,,,,,,71,2020-03-22 08:40:02.277
53,110924,Seychelles,7,,7,,,,,,71,2020-03-22 08:50:01.998
54,111113,Seychelles,7,,7,,,,,,71,2020-03-22 09:00:02.386
55,111302,Seychelles,7,,7,,,,,,71,2020-03-22 09:10:02.333
56,111491,Seychelles,7,,7,,,,,,71,2020-03-22 09:20:01.679
57,111680,Seychelles,7,,7,,,,,,71,2020-03-22 09:30:01.858
58,111869,Seychelles,7,,7,,,,,,71,2020-03-22 09:40:02.077
59,112058,Seychelles,7,,7,,,,,,71,2020-03-22 09:50:02.389
60,112247,Seychelles,7,,7,,,,,,71,2020-03-22 10:00:01.658
61,112436,Seychelles,7,,7,,,,,,71,2020-03-22 10:10:02.03
62,112625,Seychelles,7,,7,,,,,,71,2020-03-22 10:20:02.283
63,112814,Seychelles,7,,7,,,,,,71,2020-03-22 10:30:02.203
64,113003,Seychelles,7,,7,,,,,,71,2020-03-22 10:50:02.099
65,113192,Seychelles,7,,7,,,,,,71,2020-03-22 11:00:01.809
66,113381,Seychelles,7,,7,,,,,,71,2020-03-22 11:10:02.337
67,113570,Seychelles,7,,7,,,,,,71,2020-03-22 11:20:02.297
68,113759,Seychelles,7,,7,,,,,,71,2020-03-22 11:30:02.571
69,113948,Seychelles,7,,7,,,,,,71,2020-03-22 11:40:01.658
70,114137,Seychelles,7,,7,,,,,,71,2020-03-22 11:50:02.534
71,114326,Seychelles,7,,7,,,,,,71,2020-03-22 12:00:01.655
72,114515,Seychelles,7,,7,,,,,,71,2020-03-22 12:10:02.323
73,114705,Seychelles,7,,7,,,,,,71,2020-03-22 12:20:01.826
74,114894,Seychelles,7,,7,,,,,,71,2020-03-22 12:30:02.517
75,115083,Seychelles,7,,7,,,,,,71,2020-03-22 12:40:02.46
76,115272,Seychelles,7,,7,,,,,,71,2020-03-22 12:50:02.108
77,115461,Seychelles,7,,7,,,,,,71,2020-03-22 13:00:01.691
78,115650,Seychelles,7,,7,,,,,,71,2020-03-22 13:10:01.964
79,115839,Seychelles,7,,7,,,,,,71,2020-03-22 13:20:01.995
80,116028,Seychelles,7,,7,,,,,,71,2020-03-22 13:30:02.353
81,116217,Seychelles,7,,7,,,,,,71,2020-03-22 13:40:02.609
82,116406,Seychelles,7,,7,,,,,,71,2020-03-22 13:50:01.753
83,116595,Seychelles,7,,7,,,,,,71,2020-03-22 14:00:02.347
84,116784,Seychelles,7,,7,,,,,,71,2020-03-22 14:10:02.014
85,116973,Seychelles,7,,7,,,,,,71,2020-03-22 14:20:01.732
86,117162,Seychelles,7,,7,,,,,,71,2020-03-22 14:30:02.279
87,117351,Seychelles,7,,7,,,,,,71,2020-03-22 14:40:01.994
88,117540,Seychelles,7,,7,,,,,,71,2020-03-22 14:50:01.896
89,117729,Seychelles,7,,7,,,,,,71,2020-03-22 15:00:01.708
90,117918,Seychelles,7,,7,,,,,,71,2020-03-22 15:10:01.808
91,118107,Seychelles,7,,7,,,,,,71,2020-03-22 15:20:02.115
92,118296,Seychelles,7,,7,,,,,,71,2020-03-22 15:30:02.542
93,118485,Seychelles,7,,7,,,,,,71,2020-03-22 15:40:01.608
94,118674,Seychelles,7,,7,,,,,,71,2020-03-22 15:50:02.028
95,118863,Seychelles,7,,7,,,,,,71,2020-03-22 16:00:01.887
96,119052,Seychelles,7,,7,,,,,,71,2020-03-22 16:10:02.607
97,119242,Seychelles,7,,7,,,,,,71,2020-03-22 16:40:02.392
98,119432,Seychelles,7,,7,,,,,,71,2020-03-22 16:50:02.248
99,119622,Seychelles,7,,7,,,,,,71,2020-03-22 17:00:02.174
100,119812,Seychelles,7,,7,,,,,,71,2020-03-22 17:10:01.966
101,120002,Seychelles,7,,7,,,,,,71,2020-03-22 17:20:01.901
102,120192,Seychelles,7,,7,,,,,,71,2020-03-22 17:30:03.26
103,120382,Seychelles,7,,7,,,,,,71,2020-03-22 17:40:03.136
104,120572,Seychelles,7,,7,,,,,,71,2020-03-22 17:50:01.957
105,120762,Seychelles,7,,7,,,,,,71,2020-03-22 18:00:01.753
106,120952,Seychelles,7,,7,,,,,,71,2020-03-22 18:10:02.492
107,121142,Seychelles,7,,7,,,,,,71,2020-03-22 18:30:02.036
108,121332,Seychelles,7,,7,,,,,,71,2020-03-22 18:40:02.238
109,121522,Seychelles,7,,7,,,,,,71,2020-03-22 18:50:02.468
110,121712,Seychelles,7,,7,,,,,,71,2020-03-22 19:00:01.712
111,121902,Seychelles,7,,7,,,,,,71,2020-03-22 19:10:01.802
112,122092,Seychelles,7,,7,,,,,,71,2020-03-22 19:20:01.774
113,122282,Seychelles,7,,7,,,,,,71,2020-03-22 19:30:02.213
114,122473,Seychelles,7,,7,,,,,,71,2020-03-22 19:40:02.298
115,122665,Seychelles,7,,7,,,,,,71,2020-03-22 19:50:02.038
116,122857,Seychelles,7,,7,,,,,,71,2020-03-22 20:00:02.199
117,123049,Seychelles,7,,7,,,,,,71,2020-03-22 20:10:02.435
118,123241,Seychelles,7,,7,,,,,,71,2020-03-22 20:20:01.689
119,123433,Seychelles,7,,7,,,,,,71,2020-03-22 20:30:01.705
120,123625,Seychelles,7,,7,,,,,,71,2020-03-22 20:40:02.242
121,123817,Seychelles,7,,7,,,,,,71,2020-03-22 20:50:02.144
122,124009,Seychelles,7,,7,,,,,,71,2020-03-22 21:00:01.651
123,124201,Seychelles,7,,7,,,,,,71,2020-03-22 21:10:02.274
124,124394,Seychelles,7,,7,,,,,,71,2020-03-22 21:20:02.379
125,124587,Seychelles,7,,7,,,,,,71,2020-03-22 21:30:02.09
126,124780,Seychelles,7,,7,,,,,,71,2020-03-22 21:40:02.262
127,124973,Seychelles,7,,7,,,,,,71,2020-03-22 21:50:02.451
