,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100825,Slovakia,178,41,171,,,7,2,,33,2020-03-22 00:00:02.483
1,101014,Slovakia,178,41,171,,,7,2,,33,2020-03-22 00:10:02.327
2,101203,Slovakia,178,41,171,,,7,2,,33,2020-03-22 00:20:02.401
3,101392,Slovakia,178,41,171,,,7,2,,33,2020-03-22 00:30:02.053
4,101581,Slovakia,178,41,171,,,7,2,,33,2020-03-22 00:40:02.56
5,101770,Slovakia,178,41,171,,,7,2,,33,2020-03-22 00:50:01.898
6,101959,Slovakia,178,41,171,,,7,2,,33,2020-03-22 01:00:01.656
7,102148,Slovakia,178,41,171,,,7,2,,33,2020-03-22 01:10:02.184
8,102337,Slovakia,178,41,171,,,7,2,,33,2020-03-22 01:20:02.26
9,102526,Slovakia,178,41,171,,,7,2,,33,2020-03-22 01:30:02.051
10,102715,Slovakia,178,41,171,,,7,2,,33,2020-03-22 01:40:02.218
11,102904,Slovakia,178,41,171,,,7,2,,33,2020-03-22 01:50:02.054
12,103093,Slovakia,178,41,171,,,7,2,,33,2020-03-22 02:00:01.626
13,103282,Slovakia,178,41,171,,,7,2,,33,2020-03-22 02:10:01.659
14,103471,Slovakia,178,41,171,,,7,2,,33,2020-03-22 02:20:02.44
15,103660,Slovakia,178,41,171,,,7,2,,33,2020-03-22 02:30:01.848
16,103849,Slovakia,178,41,171,,,7,2,,33,2020-03-22 02:40:02.273
17,104038,Slovakia,178,41,171,,,7,2,,33,2020-03-22 02:50:01.692
18,104227,Slovakia,178,41,171,,,7,2,,33,2020-03-22 03:00:02.482
19,104416,Slovakia,178,41,171,,,7,2,,33,2020-03-22 03:10:02.128
20,104605,Slovakia,178,41,171,,,7,2,,33,2020-03-22 03:20:02.286
21,104794,Slovakia,178,,171,,,7,2,,33,2020-03-22 03:30:01.618
22,104984,Slovakia,178,,171,,,7,2,,33,2020-03-22 03:40:02.473
23,105173,Slovakia,178,,171,,,7,2,,33,2020-03-22 03:50:02.419
24,105362,Slovakia,178,,171,,,7,2,,33,2020-03-22 04:00:02.368
25,105551,Slovakia,178,,171,,,7,2,,33,2020-03-22 04:10:02.471
26,105740,Slovakia,178,,171,,,7,2,,33,2020-03-22 04:20:02.205
27,105929,Slovakia,178,,171,,,7,2,,33,2020-03-22 04:30:01.838
28,106118,Slovakia,178,,171,,,7,2,,33,2020-03-22 04:40:01.728
29,106307,Slovakia,178,,171,,,7,2,,33,2020-03-22 04:50:02.186
30,106496,Slovakia,178,,171,,,7,2,,33,2020-03-22 05:00:02.283
31,106685,Slovakia,178,,171,,,7,2,,33,2020-03-22 05:10:02.023
32,106874,Slovakia,178,,171,,,7,2,,33,2020-03-22 05:20:02.539
33,107063,Slovakia,178,,171,,,7,2,,33,2020-03-22 05:30:01.917
34,107252,Slovakia,178,,171,,,7,2,,33,2020-03-22 05:40:02.393
35,107441,Slovakia,178,,171,,,7,2,,33,2020-03-22 05:50:01.706
36,107630,Slovakia,178,,171,,,7,2,,33,2020-03-22 06:00:02.31
37,107819,Slovakia,178,,171,,,7,2,,33,2020-03-22 06:10:02.48
38,108009,Slovakia,178,,171,,,7,2,,33,2020-03-22 06:20:02.308
39,108198,Slovakia,178,,171,,,7,2,,33,2020-03-22 06:30:02.468
40,108387,Slovakia,178,,171,,,7,2,,33,2020-03-22 06:40:01.627
41,108576,Slovakia,178,,171,,,7,2,,33,2020-03-22 06:50:02.568
42,108765,Slovakia,178,,171,,,7,2,,33,2020-03-22 07:00:01.882
43,108955,Slovakia,178,,171,,,7,2,,33,2020-03-22 07:10:01.602
44,109144,Slovakia,178,,171,,,7,2,,33,2020-03-22 07:20:01.725
45,109333,Slovakia,178,,171,,,7,2,,33,2020-03-22 07:30:02.517
46,109522,Slovakia,178,,171,,,7,2,,33,2020-03-22 07:40:02.004
47,109711,Slovakia,178,,171,,,7,2,,33,2020-03-22 07:50:01.639
48,109900,Slovakia,178,,171,,,7,2,,33,2020-03-22 08:00:02.288
49,110089,Slovakia,178,,171,,,7,2,,33,2020-03-22 08:10:01.955
50,110278,Slovakia,178,,171,,,7,2,,33,2020-03-22 08:20:02.461
51,110467,Slovakia,178,,171,,,7,2,,33,2020-03-22 08:30:01.924
52,110656,Slovakia,178,,171,,,7,2,,33,2020-03-22 08:40:02.277
53,110845,Slovakia,178,,171,,,7,2,,33,2020-03-22 08:50:01.998
54,111034,Slovakia,178,,171,,,7,2,,33,2020-03-22 09:00:02.386
55,111223,Slovakia,178,,171,,,7,2,,33,2020-03-22 09:10:02.333
56,111412,Slovakia,178,,171,,,7,2,,33,2020-03-22 09:20:01.679
57,111601,Slovakia,178,,171,,,7,2,,33,2020-03-22 09:30:01.858
58,111790,Slovakia,178,,171,,,7,2,,33,2020-03-22 09:40:02.077
59,111979,Slovakia,178,,171,,,7,2,,33,2020-03-22 09:50:02.389
60,112168,Slovakia,178,,171,,,7,2,,33,2020-03-22 10:00:01.658
61,112357,Slovakia,178,,171,,,7,2,,33,2020-03-22 10:10:02.03
62,112546,Slovakia,178,,171,,,7,2,,33,2020-03-22 10:20:02.283
63,112735,Slovakia,178,,171,,,7,2,,33,2020-03-22 10:30:02.203
64,112924,Slovakia,178,,171,,,7,2,,33,2020-03-22 10:50:02.099
65,113113,Slovakia,178,,171,,,7,2,,33,2020-03-22 11:00:01.809
66,113302,Slovakia,178,,171,,,7,2,,33,2020-03-22 11:10:02.337
67,113492,Slovakia,178,,171,,,7,2,,33,2020-03-22 11:20:02.297
68,113681,Slovakia,178,,171,,,7,2,,33,2020-03-22 11:30:02.571
69,113870,Slovakia,178,,171,,,7,2,,33,2020-03-22 11:40:01.658
70,114059,Slovakia,178,,171,,,7,2,,33,2020-03-22 11:50:02.534
71,114248,Slovakia,178,,171,,,7,2,,33,2020-03-22 12:00:01.655
72,114437,Slovakia,178,,171,,,7,2,,33,2020-03-22 12:10:02.323
73,114626,Slovakia,178,,171,,,7,2,,33,2020-03-22 12:20:01.826
74,114815,Slovakia,178,,171,,,7,2,,33,2020-03-22 12:30:02.517
75,115004,Slovakia,178,,171,,,7,2,,33,2020-03-22 12:40:02.46
76,115193,Slovakia,178,,171,,,7,2,,33,2020-03-22 12:50:02.108
77,115382,Slovakia,178,,171,,,7,2,,33,2020-03-22 13:00:01.691
78,115571,Slovakia,178,,171,,,7,2,,33,2020-03-22 13:10:01.964
79,115760,Slovakia,178,,171,,,7,2,,33,2020-03-22 13:20:01.995
80,115949,Slovakia,178,,171,,,7,2,,33,2020-03-22 13:30:02.353
81,116138,Slovakia,178,,171,,,7,2,,33,2020-03-22 13:40:02.609
82,116327,Slovakia,178,,171,,,7,2,,33,2020-03-22 13:50:01.753
83,116516,Slovakia,178,,171,,,7,2,,33,2020-03-22 14:00:02.347
84,116705,Slovakia,178,,171,,,7,2,,33,2020-03-22 14:10:02.014
85,116894,Slovakia,178,,171,,,7,2,,33,2020-03-22 14:20:01.732
86,117084,Slovakia,178,,171,,,7,2,,33,2020-03-22 14:30:02.279
87,117273,Slovakia,178,,171,,,7,2,,33,2020-03-22 14:40:01.994
88,117462,Slovakia,178,,171,,,7,2,,33,2020-03-22 14:50:01.896
89,117651,Slovakia,178,,171,,,7,2,,33,2020-03-22 15:00:01.708
90,117841,Slovakia,178,,171,,,7,2,,33,2020-03-22 15:10:01.808
