,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100808,Slovenia,383,42,382,1,,,12,,184,2020-03-22 00:00:02.483
1,100997,Slovenia,383,42,382,1,,,12,,184,2020-03-22 00:10:02.327
2,101186,Slovenia,383,42,382,1,,,12,,184,2020-03-22 00:20:02.401
3,101375,Slovenia,383,42,382,1,,,12,,184,2020-03-22 00:30:02.053
4,101564,Slovenia,383,42,382,1,,,12,,184,2020-03-22 00:40:02.56
5,101753,Slovenia,383,42,382,1,,,12,,184,2020-03-22 00:50:01.898
6,101942,Slovenia,383,42,382,1,,,12,,184,2020-03-22 01:00:01.656
7,102131,Slovenia,383,42,382,1,,,12,,184,2020-03-22 01:10:02.184
8,102320,Slovenia,383,42,382,1,,,12,,184,2020-03-22 01:20:02.26
9,102509,Slovenia,383,42,382,1,,,12,,184,2020-03-22 01:30:02.051
10,102698,Slovenia,383,42,382,1,,,12,,184,2020-03-22 01:40:02.218
11,102887,Slovenia,383,42,382,1,,,12,,184,2020-03-22 01:50:02.054
12,103076,Slovenia,383,42,382,1,,,12,,184,2020-03-22 02:00:01.626
13,103265,Slovenia,383,42,382,1,,,12,,184,2020-03-22 02:10:01.659
14,103454,Slovenia,383,42,382,1,,,12,,184,2020-03-22 02:20:02.44
15,103643,Slovenia,383,42,382,1,,,12,,184,2020-03-22 02:30:01.848
16,103832,Slovenia,383,42,382,1,,,12,,184,2020-03-22 02:40:02.273
17,104021,Slovenia,383,42,382,1,,,12,,184,2020-03-22 02:50:01.692
18,104210,Slovenia,383,42,382,1,,,12,,184,2020-03-22 03:00:02.482
19,104399,Slovenia,383,42,382,1,,,12,,184,2020-03-22 03:10:02.128
20,104588,Slovenia,383,42,382,1,,,12,,184,2020-03-22 03:20:02.286
21,104777,Slovenia,383,,382,1,,,12,,184,2020-03-22 03:30:01.618
22,104966,Slovenia,383,,382,1,,,12,,184,2020-03-22 03:40:02.473
23,105155,Slovenia,383,,382,1,,,12,,184,2020-03-22 03:50:02.419
24,105344,Slovenia,383,,382,1,,,12,,184,2020-03-22 04:00:02.368
25,105533,Slovenia,383,,382,1,,,12,,184,2020-03-22 04:10:02.471
26,105722,Slovenia,383,,382,1,,,12,,184,2020-03-22 04:20:02.205
27,105911,Slovenia,383,,382,1,,,12,,184,2020-03-22 04:30:01.838
28,106100,Slovenia,383,,382,1,,,12,,184,2020-03-22 04:40:01.728
29,106289,Slovenia,383,,382,1,,,12,,184,2020-03-22 04:50:02.186
30,106478,Slovenia,383,,382,1,,,12,,184,2020-03-22 05:00:02.283
31,106667,Slovenia,383,,382,1,,,12,,184,2020-03-22 05:10:02.023
32,106856,Slovenia,383,,382,1,,,12,,184,2020-03-22 05:20:02.539
33,107045,Slovenia,383,,382,1,,,12,,184,2020-03-22 05:30:01.917
34,107234,Slovenia,383,,382,1,,,12,,184,2020-03-22 05:40:02.393
35,107423,Slovenia,383,,382,1,,,12,,184,2020-03-22 05:50:01.706
36,107612,Slovenia,383,,382,1,,,12,,184,2020-03-22 06:00:02.31
37,107801,Slovenia,383,,382,1,,,12,,184,2020-03-22 06:10:02.48
38,107990,Slovenia,383,,382,1,,,12,,184,2020-03-22 06:20:02.308
39,108179,Slovenia,383,,382,1,,,12,,184,2020-03-22 06:30:02.468
40,108368,Slovenia,383,,382,1,,,12,,184,2020-03-22 06:40:01.627
41,108557,Slovenia,383,,382,1,,,12,,184,2020-03-22 06:50:02.568
42,108746,Slovenia,383,,382,1,,,12,,184,2020-03-22 07:00:01.882
43,108935,Slovenia,383,,382,1,,,12,,184,2020-03-22 07:10:01.602
44,109124,Slovenia,383,,382,1,,,12,,184,2020-03-22 07:20:01.725
45,109313,Slovenia,383,,382,1,,,12,,184,2020-03-22 07:30:02.517
46,109502,Slovenia,383,,382,1,,,12,,184,2020-03-22 07:40:02.004
47,109691,Slovenia,383,,382,1,,,12,,184,2020-03-22 07:50:01.639
48,109880,Slovenia,383,,382,1,,,12,,184,2020-03-22 08:00:02.288
49,110069,Slovenia,383,,382,1,,,12,,184,2020-03-22 08:10:01.955
50,110258,Slovenia,383,,382,1,,,12,,184,2020-03-22 08:20:02.461
51,110447,Slovenia,383,,382,1,,,12,,184,2020-03-22 08:30:01.924
52,110636,Slovenia,383,,382,1,,,12,,184,2020-03-22 08:40:02.277
53,110825,Slovenia,383,,382,1,,,12,,184,2020-03-22 08:50:01.998
54,111014,Slovenia,383,,382,1,,,12,,184,2020-03-22 09:00:02.386
55,111203,Slovenia,383,,382,1,,,12,,184,2020-03-22 09:10:02.333
56,111392,Slovenia,383,,382,1,,,12,,184,2020-03-22 09:20:01.679
57,111581,Slovenia,383,,382,1,,,12,,184,2020-03-22 09:30:01.858
58,111770,Slovenia,383,,382,1,,,12,,184,2020-03-22 09:40:02.077
59,111959,Slovenia,383,,382,1,,,12,,184,2020-03-22 09:50:02.389
60,112148,Slovenia,383,,382,1,,,12,,184,2020-03-22 10:00:01.658
61,112337,Slovenia,383,,382,1,,,12,,184,2020-03-22 10:10:02.03
62,112526,Slovenia,383,,382,1,,,12,,184,2020-03-22 10:20:02.283
63,112715,Slovenia,383,,382,1,,,12,,184,2020-03-22 10:30:02.203
64,112904,Slovenia,383,,382,1,,,12,,184,2020-03-22 10:50:02.099
65,113093,Slovenia,383,,382,1,,,12,,184,2020-03-22 11:00:01.809
66,113282,Slovenia,383,,382,1,,,12,,184,2020-03-22 11:10:02.337
67,113472,Slovenia,383,,382,1,,,12,,184,2020-03-22 11:20:02.297
68,113661,Slovenia,383,,382,1,,,12,,184,2020-03-22 11:30:02.571
69,113850,Slovenia,383,,382,1,,,12,,184,2020-03-22 11:40:01.658
70,114039,Slovenia,383,,382,1,,,12,,184,2020-03-22 11:50:02.534
71,114228,Slovenia,383,,382,1,,,12,,184,2020-03-22 12:00:01.655
72,114417,Slovenia,383,,382,1,,,12,,184,2020-03-22 12:10:02.323
73,114606,Slovenia,383,,382,1,,,12,,184,2020-03-22 12:20:01.826
74,114795,Slovenia,383,,382,1,,,12,,184,2020-03-22 12:30:02.517
75,114984,Slovenia,383,,382,1,,,12,,184,2020-03-22 12:40:02.46
76,115173,Slovenia,383,,382,1,,,12,,184,2020-03-22 12:50:02.108
77,115362,Slovenia,383,,382,1,,,12,,184,2020-03-22 13:00:01.691
78,115551,Slovenia,383,,382,1,,,12,,184,2020-03-22 13:10:01.964
79,115740,Slovenia,414,31,413,1,,,12,,199,2020-03-22 13:20:01.995
80,115929,Slovenia,414,31,413,1,,,12,,199,2020-03-22 13:30:02.353
81,116118,Slovenia,414,31,413,1,,,12,,199,2020-03-22 13:40:02.609
82,116307,Slovenia,414,31,413,1,,,12,,199,2020-03-22 13:50:01.753
83,116496,Slovenia,414,31,413,1,,,12,,199,2020-03-22 14:00:02.347
84,116685,Slovenia,414,31,413,1,,,12,,199,2020-03-22 14:10:02.014
85,116874,Slovenia,414,31,413,1,,,12,,199,2020-03-22 14:20:01.732
86,117063,Slovenia,414,31,413,1,,,12,,199,2020-03-22 14:30:02.279
87,117252,Slovenia,414,31,413,1,,,12,,199,2020-03-22 14:40:01.994
88,117441,Slovenia,414,31,413,1,,,12,,199,2020-03-22 14:50:01.896
89,117630,Slovenia,414,31,413,1,,,12,,199,2020-03-22 15:00:01.708
90,117819,Slovenia,414,31,413,1,,,12,,199,2020-03-22 15:10:01.808
91,118008,Slovenia,414,31,413,1,,,12,,199,2020-03-22 15:20:02.115
92,118197,Slovenia,414,31,413,1,,,12,,199,2020-03-22 15:30:02.542
93,118386,Slovenia,414,31,413,1,,,12,,199,2020-03-22 15:40:01.608
94,118575,Slovenia,414,31,413,1,,,12,,199,2020-03-22 15:50:02.028
95,118764,Slovenia,414,31,413,1,,,12,,199,2020-03-22 16:00:01.887
96,118953,Slovenia,414,31,413,1,,,12,,199,2020-03-22 16:10:02.607
97,119143,Slovenia,414,31,413,1,,,12,,199,2020-03-22 16:40:02.392
98,119333,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 16:50:02.248
99,119523,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 17:00:02.174
100,119713,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 17:10:01.966
101,119903,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 17:20:01.901
102,120093,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 17:30:03.26
103,120283,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 17:40:03.136
104,120473,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 17:50:01.957
105,120663,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 18:00:01.753
106,120853,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 18:10:02.492
107,121043,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 18:30:02.036
108,121233,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 18:40:02.238
109,121423,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 18:50:02.468
110,121613,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 19:00:01.712
111,121803,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 19:10:01.802
112,121993,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 19:20:01.774
113,122183,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 19:30:02.213
114,122374,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 19:40:02.298
115,122566,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 19:50:02.038
116,122758,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 20:00:02.199
117,122950,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 20:10:02.435
118,123142,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 20:20:01.689
119,123334,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 20:30:01.705
120,123526,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 20:40:02.242
121,123718,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 20:50:02.144
122,123910,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 21:00:01.651
123,124102,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 21:10:02.274
124,124295,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 21:20:02.379
125,124488,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 21:30:02.09
126,124681,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 21:40:02.262
127,124874,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 21:50:02.451
128,125067,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 22:00:02.593
129,125260,Slovenia,414,31,412,2,1,,12,,199,2020-03-22 22:10:02.087
