,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100819,South Africa,240,38,238,,,2,,,4,2020-03-22 00:00:02.483
1,101008,South Africa,240,38,238,,,2,,,4,2020-03-22 00:10:02.327
2,101197,South Africa,240,38,238,,,2,,,4,2020-03-22 00:20:02.401
3,101386,South Africa,240,38,238,,,2,,,4,2020-03-22 00:30:02.053
4,101575,South Africa,240,38,238,,,2,,,4,2020-03-22 00:40:02.56
5,101764,South Africa,240,38,238,,,2,,,4,2020-03-22 00:50:01.898
6,101953,South Africa,240,38,238,,,2,,,4,2020-03-22 01:00:01.656
7,102142,South Africa,240,38,238,,,2,,,4,2020-03-22 01:10:02.184
8,102331,South Africa,240,38,238,,,2,,,4,2020-03-22 01:20:02.26
9,102520,South Africa,240,38,238,,,2,,,4,2020-03-22 01:30:02.051
10,102709,South Africa,240,38,238,,,2,,,4,2020-03-22 01:40:02.218
11,102898,South Africa,240,38,238,,,2,,,4,2020-03-22 01:50:02.054
12,103087,South Africa,240,38,238,,,2,,,4,2020-03-22 02:00:01.626
13,103276,South Africa,240,38,238,,,2,,,4,2020-03-22 02:10:01.659
14,103465,South Africa,240,38,238,,,2,,,4,2020-03-22 02:20:02.44
15,103654,South Africa,240,38,238,,,2,,,4,2020-03-22 02:30:01.848
16,103843,South Africa,240,38,238,,,2,,,4,2020-03-22 02:40:02.273
17,104032,South Africa,240,38,238,,,2,,,4,2020-03-22 02:50:01.692
18,104221,South Africa,240,38,238,,,2,,,4,2020-03-22 03:00:02.482
19,104410,South Africa,240,38,238,,,2,,,4,2020-03-22 03:10:02.128
20,104599,South Africa,240,38,238,,,2,,,4,2020-03-22 03:20:02.286
21,104788,South Africa,240,,238,,,2,,,4,2020-03-22 03:30:01.618
22,104978,South Africa,240,,238,,,2,,,4,2020-03-22 03:40:02.473
23,105167,South Africa,240,,238,,,2,,,4,2020-03-22 03:50:02.419
24,105356,South Africa,240,,238,,,2,,,4,2020-03-22 04:00:02.368
25,105545,South Africa,240,,238,,,2,,,4,2020-03-22 04:10:02.471
26,105734,South Africa,240,,238,,,2,,,4,2020-03-22 04:20:02.205
27,105923,South Africa,240,,238,,,2,,,4,2020-03-22 04:30:01.838
28,106112,South Africa,240,,238,,,2,,,4,2020-03-22 04:40:01.728
29,106301,South Africa,240,,238,,,2,,,4,2020-03-22 04:50:02.186
30,106490,South Africa,240,,238,,,2,,,4,2020-03-22 05:00:02.283
31,106679,South Africa,240,,238,,,2,,,4,2020-03-22 05:10:02.023
32,106868,South Africa,240,,238,,,2,,,4,2020-03-22 05:20:02.539
33,107057,South Africa,240,,238,,,2,,,4,2020-03-22 05:30:01.917
34,107246,South Africa,240,,238,,,2,,,4,2020-03-22 05:40:02.393
35,107435,South Africa,240,,238,,,2,,,4,2020-03-22 05:50:01.706
36,107624,South Africa,240,,238,,,2,,,4,2020-03-22 06:00:02.31
37,107813,South Africa,240,,238,,,2,,,4,2020-03-22 06:10:02.48
38,108002,South Africa,240,,238,,,2,,,4,2020-03-22 06:20:02.308
39,108191,South Africa,240,,238,,,2,,,4,2020-03-22 06:30:02.468
40,108380,South Africa,240,,238,,,2,,,4,2020-03-22 06:40:01.627
41,108569,South Africa,240,,238,,,2,,,4,2020-03-22 06:50:02.568
42,108758,South Africa,240,,238,,,2,,,4,2020-03-22 07:00:01.882
43,108947,South Africa,240,,238,,,2,,,4,2020-03-22 07:10:01.602
44,109136,South Africa,240,,238,,,2,,,4,2020-03-22 07:20:01.725
45,109325,South Africa,240,,238,,,2,,,4,2020-03-22 07:30:02.517
46,109514,South Africa,240,,238,,,2,,,4,2020-03-22 07:40:02.004
47,109703,South Africa,240,,238,,,2,,,4,2020-03-22 07:50:01.639
48,109892,South Africa,240,,238,,,2,,,4,2020-03-22 08:00:02.288
49,110081,South Africa,240,,238,,,2,,,4,2020-03-22 08:10:01.955
50,110270,South Africa,240,,238,,,2,,,4,2020-03-22 08:20:02.461
51,110459,South Africa,240,,238,,,2,,,4,2020-03-22 08:30:01.924
52,110648,South Africa,240,,238,,,2,,,4,2020-03-22 08:40:02.277
53,110837,South Africa,240,,238,,,2,,,4,2020-03-22 08:50:01.998
54,111026,South Africa,240,,238,,,2,,,4,2020-03-22 09:00:02.386
55,111215,South Africa,240,,238,,,2,,,4,2020-03-22 09:10:02.333
56,111404,South Africa,240,,238,,,2,,,4,2020-03-22 09:20:01.679
57,111593,South Africa,240,,238,,,2,,,4,2020-03-22 09:30:01.858
58,111782,South Africa,240,,238,,,2,,,4,2020-03-22 09:40:02.077
59,111971,South Africa,240,,238,,,2,,,4,2020-03-22 09:50:02.389
60,112160,South Africa,240,,238,,,2,,,4,2020-03-22 10:00:01.658
61,112349,South Africa,240,,238,,,2,,,4,2020-03-22 10:10:02.03
62,112538,South Africa,240,,238,,,2,,,4,2020-03-22 10:20:02.283
63,112727,South Africa,240,,238,,,2,,,4,2020-03-22 10:30:02.203
64,112916,South Africa,240,,238,,,2,,,4,2020-03-22 10:50:02.099
65,113105,South Africa,240,,238,,,2,,,4,2020-03-22 11:00:01.809
66,113294,South Africa,240,,238,,,2,,,4,2020-03-22 11:10:02.337
67,113483,South Africa,240,,238,,,2,,,4,2020-03-22 11:20:02.297
68,113672,South Africa,240,,238,,,2,,,4,2020-03-22 11:30:02.571
69,113861,South Africa,240,,238,,,2,,,4,2020-03-22 11:40:01.658
70,114050,South Africa,240,,238,,,2,,,4,2020-03-22 11:50:02.534
71,114239,South Africa,240,,238,,,2,,,4,2020-03-22 12:00:01.655
72,114428,South Africa,240,,238,,,2,,,4,2020-03-22 12:10:02.323
73,114618,South Africa,240,,238,,,2,,,4,2020-03-22 12:20:01.826
74,114807,South Africa,240,,238,,,2,,,4,2020-03-22 12:30:02.517
75,114996,South Africa,240,,238,,,2,,,4,2020-03-22 12:40:02.46
76,115185,South Africa,240,,238,,,2,,,4,2020-03-22 12:50:02.108
77,115374,South Africa,240,,238,,,2,,,4,2020-03-22 13:00:01.691
78,115563,South Africa,240,,238,,,2,,,4,2020-03-22 13:10:01.964
79,115752,South Africa,240,,238,,,2,,,4,2020-03-22 13:20:01.995
80,115941,South Africa,240,,238,,,2,,,4,2020-03-22 13:30:02.353
81,116130,South Africa,240,,238,,,2,,,4,2020-03-22 13:40:02.609
82,116319,South Africa,240,,238,,,2,,,4,2020-03-22 13:50:01.753
83,116508,South Africa,240,,238,,,2,,,4,2020-03-22 14:00:02.347
84,116697,South Africa,240,,238,,,2,,,4,2020-03-22 14:10:02.014
85,116886,South Africa,240,,238,,,2,,,4,2020-03-22 14:20:01.732
86,117075,South Africa,240,,238,,,2,,,4,2020-03-22 14:30:02.279
87,117264,South Africa,240,,238,,,2,,,4,2020-03-22 14:40:01.994
88,117453,South Africa,240,,238,,,2,,,4,2020-03-22 14:50:01.896
89,117642,South Africa,240,,238,,,2,,,4,2020-03-22 15:00:01.708
90,117831,South Africa,240,,238,,,2,,,4,2020-03-22 15:10:01.808
91,118020,South Africa,240,,238,,,2,,,4,2020-03-22 15:20:02.115
92,118209,South Africa,240,,238,,,2,,,4,2020-03-22 15:30:02.542
93,118398,South Africa,240,,238,,,2,,,4,2020-03-22 15:40:01.608
94,118588,South Africa,240,,238,,,2,,,4,2020-03-22 15:50:02.028
95,118777,South Africa,240,,238,,,2,,,4,2020-03-22 16:00:01.887
96,118966,South Africa,240,,238,,,2,,,4,2020-03-22 16:10:02.607
97,119156,South Africa,240,,238,,,2,,,4,2020-03-22 16:40:02.392
98,119346,South Africa,240,,238,,,2,,,4,2020-03-22 16:50:02.248
99,119536,South Africa,240,,238,,,2,,,4,2020-03-22 17:00:02.174
100,119726,South Africa,240,,238,,,2,,,4,2020-03-22 17:10:01.966
101,119916,South Africa,240,,238,,,2,,,4,2020-03-22 17:20:01.901
