,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100851,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 00:00:02.483
1,101040,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 00:10:02.327
2,101229,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 00:20:02.401
3,101418,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 00:30:02.053
4,101607,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 00:40:02.56
5,101796,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 00:50:01.898
6,101985,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 01:00:01.656
7,102174,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 01:10:02.184
8,102363,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 01:20:02.26
9,102552,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 01:30:02.051
10,102741,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 01:40:02.218
11,102930,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 01:50:02.054
12,103119,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 02:00:01.626
13,103308,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 02:10:01.659
14,103497,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 02:20:02.44
15,103686,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 02:30:01.848
16,103875,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 02:40:02.273
17,104064,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 02:50:01.692
18,104253,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 03:00:02.482
19,104442,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 03:10:02.128
20,104631,Sri Lanka,77,4,74,,,3,2,,4,2020-03-22 03:20:02.286
21,104820,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 03:30:01.618
22,105009,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 03:40:02.473
23,105198,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 03:50:02.419
24,105387,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 04:00:02.368
25,105576,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 04:10:02.471
26,105765,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 04:20:02.205
27,105954,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 04:30:01.838
28,106143,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 04:40:01.728
29,106332,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 04:50:02.186
30,106521,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 05:00:02.283
31,106710,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 05:10:02.023
32,106899,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 05:20:02.539
33,107088,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 05:30:01.917
34,107277,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 05:40:02.393
35,107466,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 05:50:01.706
36,107655,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 06:00:02.31
37,107844,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 06:10:02.48
38,108033,Sri Lanka,77,,74,,,3,2,,4,2020-03-22 06:20:02.308
