,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100951,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 00:00:02.483
1,101140,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 00:10:02.327
2,101329,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 00:20:02.401
3,101518,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 00:30:02.053
4,101707,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 00:40:02.56
5,101896,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 00:50:01.898
6,102085,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 01:00:01.656
7,102274,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 01:10:02.184
8,102463,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 01:20:02.26
9,102652,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 01:30:02.051
10,102841,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 01:40:02.218
11,103030,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 01:50:02.054
12,103219,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 02:00:01.626
13,103408,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 02:10:01.659
14,103597,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 02:20:02.44
15,103786,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 02:30:01.848
16,103975,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 02:40:02.273
17,104164,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 02:50:01.692
18,104353,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 03:00:02.482
19,104542,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 03:10:02.128
20,104731,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 03:20:02.286
21,104920,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 03:30:01.618
22,105109,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 03:40:02.473
23,105298,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 03:50:02.419
24,105487,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 04:00:02.368
25,105676,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 04:10:02.471
26,105865,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 04:20:02.205
27,106054,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 04:30:01.838
28,106244,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 04:40:01.728
29,106433,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 04:50:02.186
30,106622,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 05:00:02.283
31,106811,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 05:10:02.023
32,107000,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 05:20:02.539
33,107189,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 05:30:01.917
34,107378,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 05:40:02.393
35,107567,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 05:50:01.706
36,107756,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 06:00:02.31
37,107945,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 06:10:02.48
38,108134,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 06:20:02.308
39,108323,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 06:30:02.468
40,108512,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 06:40:01.627
41,108701,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 06:50:02.568
42,108890,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 07:00:01.882
43,109079,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 07:10:01.602
44,109268,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 07:20:01.725
45,109457,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 07:30:02.517
46,109646,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 07:40:02.004
47,109835,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 07:50:01.639
48,110024,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 08:00:02.288
49,110213,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 08:10:01.955
50,110402,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 08:20:02.461
51,110591,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 08:30:01.924
52,110780,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 08:40:02.277
53,110969,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 08:50:01.998
54,111158,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 09:00:02.386
55,111347,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 09:10:02.333
56,111536,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 09:20:01.679
57,111725,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 09:30:01.858
58,111914,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 09:40:02.077
59,112103,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 09:50:02.389
60,112292,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 10:00:01.658
61,112481,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 10:10:02.03
62,112670,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 10:20:02.283
63,112859,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 10:30:02.203
64,113048,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 10:50:02.099
65,113237,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 11:00:01.809
66,113426,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 11:10:02.337
67,113615,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 11:20:02.297
68,113804,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 11:30:02.571
69,113993,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 11:40:01.658
70,114182,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 11:50:02.534
71,114371,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 12:00:01.655
72,114560,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 12:10:02.323
73,114749,St. Vincent Grenadines,1,,1,,,,,,9,2020-03-22 12:20:01.826
