,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100832,Taiwan,153,18,123,2,,28,,,6,2020-03-22 00:00:02.483
1,101021,Taiwan,153,18,123,2,,28,,,6,2020-03-22 00:10:02.327
2,101210,Taiwan,153,18,123,2,,28,,,6,2020-03-22 00:20:02.401
3,101399,Taiwan,153,18,123,2,,28,,,6,2020-03-22 00:30:02.053
4,101588,Taiwan,153,18,123,2,,28,,,6,2020-03-22 00:40:02.56
5,101777,Taiwan,153,18,123,2,,28,,,6,2020-03-22 00:50:01.898
6,101966,Taiwan,153,18,123,2,,28,,,6,2020-03-22 01:00:01.656
7,102155,Taiwan,153,18,123,2,,28,,,6,2020-03-22 01:10:02.184
8,102344,Taiwan,153,18,123,2,,28,,,6,2020-03-22 01:20:02.26
9,102533,Taiwan,153,18,123,2,,28,,,6,2020-03-22 01:30:02.051
10,102722,Taiwan,153,18,123,2,,28,,,6,2020-03-22 01:40:02.218
11,102911,Taiwan,153,18,123,2,,28,,,6,2020-03-22 01:50:02.054
12,103100,Taiwan,153,18,123,2,,28,,,6,2020-03-22 02:00:01.626
13,103289,Taiwan,153,18,123,2,,28,,,6,2020-03-22 02:10:01.659
14,103478,Taiwan,153,18,123,2,,28,,,6,2020-03-22 02:20:02.44
15,103667,Taiwan,153,18,123,2,,28,,,6,2020-03-22 02:30:01.848
16,103856,Taiwan,153,18,123,2,,28,,,6,2020-03-22 02:40:02.273
17,104045,Taiwan,153,18,123,2,,28,,,6,2020-03-22 02:50:01.692
18,104234,Taiwan,153,18,123,2,,28,,,6,2020-03-22 03:00:02.482
19,104423,Taiwan,153,18,123,2,,28,,,6,2020-03-22 03:10:02.128
20,104612,Taiwan,153,18,123,2,,28,,,6,2020-03-22 03:20:02.286
21,104801,Taiwan,153,,123,2,,28,,,6,2020-03-22 03:30:01.618
22,104990,Taiwan,153,,123,2,,28,,,6,2020-03-22 03:40:02.473
23,105179,Taiwan,153,,123,2,,28,,,6,2020-03-22 03:50:02.419
24,105368,Taiwan,153,,123,2,,28,,,6,2020-03-22 04:00:02.368
25,105557,Taiwan,153,,123,2,,28,,,6,2020-03-22 04:10:02.471
26,105746,Taiwan,153,,123,2,,28,,,6,2020-03-22 04:20:02.205
27,105935,Taiwan,153,,123,2,,28,,,6,2020-03-22 04:30:01.838
28,106124,Taiwan,153,,123,2,,28,,,6,2020-03-22 04:40:01.728
29,106313,Taiwan,153,,123,2,,28,,,6,2020-03-22 04:50:02.186
30,106502,Taiwan,153,,123,2,,28,,,6,2020-03-22 05:00:02.283
31,106691,Taiwan,153,,123,2,,28,,,6,2020-03-22 05:10:02.023
32,106880,Taiwan,153,,123,2,,28,,,6,2020-03-22 05:20:02.539
33,107069,Taiwan,153,,123,2,,28,,,6,2020-03-22 05:30:01.917
34,107258,Taiwan,153,,123,2,,28,,,6,2020-03-22 05:40:02.393
35,107447,Taiwan,153,,123,2,,28,,,6,2020-03-22 05:50:01.706
36,107636,Taiwan,153,,123,2,,28,,,6,2020-03-22 06:00:02.31
37,107825,Taiwan,153,,123,2,,28,,,6,2020-03-22 06:10:02.48
38,108014,Taiwan,153,,123,2,,28,,,6,2020-03-22 06:20:02.308
39,108203,Taiwan,153,,123,2,,28,,,6,2020-03-22 06:30:02.468
40,108392,Taiwan,153,,123,2,,28,,,6,2020-03-22 06:40:01.627
41,108581,Taiwan,153,,123,2,,28,,,6,2020-03-22 06:50:02.568
42,108770,Taiwan,153,,123,2,,28,,,6,2020-03-22 07:00:01.882
43,108959,Taiwan,153,,123,2,,28,,,6,2020-03-22 07:10:01.602
44,109148,Taiwan,153,,123,2,,28,,,6,2020-03-22 07:20:01.725
45,109337,Taiwan,153,,123,2,,28,,,6,2020-03-22 07:30:02.517
46,109526,Taiwan,153,,123,2,,28,,,6,2020-03-22 07:40:02.004
47,109715,Taiwan,153,,123,2,,28,,,6,2020-03-22 07:50:01.639
48,109904,Taiwan,153,,123,2,,28,,,6,2020-03-22 08:00:02.288
49,110093,Taiwan,153,,123,2,,28,,,6,2020-03-22 08:10:01.955
50,110282,Taiwan,153,,123,2,,28,,,6,2020-03-22 08:20:02.461
51,110471,Taiwan,153,,123,2,,28,,,6,2020-03-22 08:30:01.924
52,110660,Taiwan,153,,123,2,,28,,,6,2020-03-22 08:40:02.277
53,110849,Taiwan,153,,123,2,,28,,,6,2020-03-22 08:50:01.998
54,111038,Taiwan,153,,123,2,,28,,,6,2020-03-22 09:00:02.386
55,111227,Taiwan,153,,123,2,,28,,,6,2020-03-22 09:10:02.333
56,111416,Taiwan,153,,123,2,,28,,,6,2020-03-22 09:20:01.679
57,111605,Taiwan,153,,123,2,,28,,,6,2020-03-22 09:30:01.858
58,111794,Taiwan,153,,123,2,,28,,,6,2020-03-22 09:40:02.077
59,111983,Taiwan,153,,123,2,,28,,,6,2020-03-22 09:50:02.389
60,112172,Taiwan,153,,123,2,,28,,,6,2020-03-22 10:00:01.658
61,112361,Taiwan,153,,123,2,,28,,,6,2020-03-22 10:10:02.03
62,112550,Taiwan,153,,123,2,,28,,,6,2020-03-22 10:20:02.283
63,112739,Taiwan,153,,123,2,,28,,,6,2020-03-22 10:30:02.203
64,112928,Taiwan,153,,123,2,,28,,,6,2020-03-22 10:50:02.099
65,113117,Taiwan,153,,123,2,,28,,,6,2020-03-22 11:00:01.809
66,113306,Taiwan,153,,123,2,,28,,,6,2020-03-22 11:10:02.337
67,113495,Taiwan,153,,123,2,,28,,,6,2020-03-22 11:20:02.297
68,113684,Taiwan,153,,123,2,,28,,,6,2020-03-22 11:30:02.571
69,113873,Taiwan,153,,123,2,,28,,,6,2020-03-22 11:40:01.658
70,114061,Taiwan,169,16,139,2,,28,,,7,2020-03-22 11:50:02.534
71,114250,Taiwan,169,16,139,2,,28,,,7,2020-03-22 12:00:01.655
72,114439,Taiwan,169,16,139,2,,28,,,7,2020-03-22 12:10:02.323
73,114628,Taiwan,169,16,139,2,,28,,,7,2020-03-22 12:20:01.826
74,114817,Taiwan,169,16,139,2,,28,,,7,2020-03-22 12:30:02.517
75,115007,Taiwan,169,16,139,2,,28,,,7,2020-03-22 12:40:02.46
76,115196,Taiwan,169,16,139,2,,28,,,7,2020-03-22 12:50:02.108
77,115385,Taiwan,169,16,139,2,,28,,,7,2020-03-22 13:00:01.691
78,115574,Taiwan,169,16,139,2,,28,,,7,2020-03-22 13:10:01.964
79,115763,Taiwan,169,16,139,2,,28,,,7,2020-03-22 13:20:01.995
80,115952,Taiwan,169,16,139,2,,28,,,7,2020-03-22 13:30:02.353
81,116141,Taiwan,169,16,139,2,,28,,,7,2020-03-22 13:40:02.609
82,116330,Taiwan,169,16,139,2,,28,,,7,2020-03-22 13:50:01.753
83,116519,Taiwan,169,16,139,2,,28,,,7,2020-03-22 14:00:02.347
84,116708,Taiwan,169,16,139,2,,28,,,7,2020-03-22 14:10:02.014
85,116897,Taiwan,169,16,139,2,,28,,,7,2020-03-22 14:20:01.732
86,117087,Taiwan,169,16,139,2,,28,,,7,2020-03-22 14:30:02.279
87,117276,Taiwan,169,16,139,2,,28,,,7,2020-03-22 14:40:01.994
88,117465,Taiwan,169,16,139,2,,28,,,7,2020-03-22 14:50:01.896
89,117654,Taiwan,169,16,139,2,,28,,,7,2020-03-22 15:00:01.708
90,117843,Taiwan,169,16,139,2,,28,,,7,2020-03-22 15:10:01.808
91,118032,Taiwan,169,16,139,2,,28,,,7,2020-03-22 15:20:02.115
92,118221,Taiwan,169,16,139,2,,28,,,7,2020-03-22 15:30:02.542
93,118410,Taiwan,169,16,139,2,,28,,,7,2020-03-22 15:40:01.608
94,118599,Taiwan,169,16,139,2,,28,,,7,2020-03-22 15:50:02.028
95,118788,Taiwan,169,16,139,2,,28,,,7,2020-03-22 16:00:01.887
96,118978,Taiwan,169,16,139,2,,28,,,7,2020-03-22 16:10:02.607
97,119168,Taiwan,169,16,139,2,,28,,,7,2020-03-22 16:40:02.392
98,119358,Taiwan,169,16,139,2,,28,,,7,2020-03-22 16:50:02.248
99,119548,Taiwan,169,16,139,2,,28,,,7,2020-03-22 17:00:02.174
100,119738,Taiwan,169,16,139,2,,28,,,7,2020-03-22 17:10:01.966
101,119928,Taiwan,169,16,139,2,,28,,,7,2020-03-22 17:20:01.901
102,120118,Taiwan,169,16,139,2,,28,,,7,2020-03-22 17:30:03.26
103,120308,Taiwan,169,16,139,2,,28,,,7,2020-03-22 17:40:03.136
104,120498,Taiwan,169,16,139,2,,28,,,7,2020-03-22 17:50:01.957
105,120688,Taiwan,169,16,139,2,,28,,,7,2020-03-22 18:00:01.753
106,120878,Taiwan,169,16,139,2,,28,,,7,2020-03-22 18:10:02.492
107,121068,Taiwan,169,16,139,2,,28,,,7,2020-03-22 18:30:02.036
108,121258,Taiwan,169,16,139,2,,28,,,7,2020-03-22 18:40:02.238
109,121448,Taiwan,169,16,139,2,,28,,,7,2020-03-22 18:50:02.468
110,121638,Taiwan,169,16,139,2,,28,,,7,2020-03-22 19:00:01.712
111,121828,Taiwan,169,16,139,2,,28,,,7,2020-03-22 19:10:01.802
112,122018,Taiwan,169,16,139,2,,28,,,7,2020-03-22 19:20:01.774
113,122208,Taiwan,169,16,139,2,,28,,,7,2020-03-22 19:30:02.213
114,122399,Taiwan,169,16,139,2,,28,,,7,2020-03-22 19:40:02.298
115,122591,Taiwan,169,16,139,2,,28,,,7,2020-03-22 19:50:02.038
116,122783,Taiwan,169,16,139,2,,28,,,7,2020-03-22 20:00:02.199
117,122975,Taiwan,169,16,139,2,,28,,,7,2020-03-22 20:10:02.435
118,123167,Taiwan,169,16,139,2,,28,,,7,2020-03-22 20:20:01.689
