,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100908,Tanzania,6,,6,,,,,,0.1,2020-03-22 00:00:02.483
1,101097,Tanzania,6,,6,,,,,,0.1,2020-03-22 00:10:02.327
2,101286,Tanzania,6,,6,,,,,,0.1,2020-03-22 00:20:02.401
3,101475,Tanzania,6,,6,,,,,,0.1,2020-03-22 00:30:02.053
4,101664,Tanzania,6,,6,,,,,,0.1,2020-03-22 00:40:02.56
5,101853,Tanzania,6,,6,,,,,,0.1,2020-03-22 00:50:01.898
6,102042,Tanzania,6,,6,,,,,,0.1,2020-03-22 01:00:01.656
7,102231,Tanzania,6,,6,,,,,,0.1,2020-03-22 01:10:02.184
8,102420,Tanzania,6,,6,,,,,,0.1,2020-03-22 01:20:02.26
9,102609,Tanzania,6,,6,,,,,,0.1,2020-03-22 01:30:02.051
10,102798,Tanzania,6,,6,,,,,,0.1,2020-03-22 01:40:02.218
11,102987,Tanzania,6,,6,,,,,,0.1,2020-03-22 01:50:02.054
12,103176,Tanzania,6,,6,,,,,,0.1,2020-03-22 02:00:01.626
13,103365,Tanzania,6,,6,,,,,,0.1,2020-03-22 02:10:01.659
14,103554,Tanzania,6,,6,,,,,,0.1,2020-03-22 02:20:02.44
15,103743,Tanzania,6,,6,,,,,,0.1,2020-03-22 02:30:01.848
16,103932,Tanzania,6,,6,,,,,,0.1,2020-03-22 02:40:02.273
17,104121,Tanzania,6,,6,,,,,,0.1,2020-03-22 02:50:01.692
18,104310,Tanzania,6,,6,,,,,,0.1,2020-03-22 03:00:02.482
19,104499,Tanzania,6,,6,,,,,,0.1,2020-03-22 03:10:02.128
20,104688,Tanzania,6,,6,,,,,,0.1,2020-03-22 03:20:02.286
21,104877,Tanzania,6,,6,,,,,,0.1,2020-03-22 03:30:01.618
22,105066,Tanzania,6,,6,,,,,,0.1,2020-03-22 03:40:02.473
23,105255,Tanzania,6,,6,,,,,,0.1,2020-03-22 03:50:02.419
24,105444,Tanzania,6,,6,,,,,,0.1,2020-03-22 04:00:02.368
