,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100893,Togo,16,7,16,,,,,,2,2020-03-22 00:00:02.483
1,101082,Togo,16,7,16,,,,,,2,2020-03-22 00:10:02.327
2,101271,Togo,16,7,16,,,,,,2,2020-03-22 00:20:02.401
3,101460,Togo,16,7,16,,,,,,2,2020-03-22 00:30:02.053
4,101649,Togo,16,7,16,,,,,,2,2020-03-22 00:40:02.56
5,101838,Togo,16,7,16,,,,,,2,2020-03-22 00:50:01.898
6,102027,Togo,16,7,16,,,,,,2,2020-03-22 01:00:01.656
7,102216,Togo,16,7,16,,,,,,2,2020-03-22 01:10:02.184
8,102405,Togo,16,7,16,,,,,,2,2020-03-22 01:20:02.26
9,102594,Togo,16,7,16,,,,,,2,2020-03-22 01:30:02.051
10,102783,Togo,16,7,16,,,,,,2,2020-03-22 01:40:02.218
11,102972,Togo,16,7,16,,,,,,2,2020-03-22 01:50:02.054
12,103161,Togo,16,7,16,,,,,,2,2020-03-22 02:00:01.626
13,103350,Togo,16,7,16,,,,,,2,2020-03-22 02:10:01.659
14,103539,Togo,16,7,16,,,,,,2,2020-03-22 02:20:02.44
15,103728,Togo,16,7,16,,,,,,2,2020-03-22 02:30:01.848
16,103917,Togo,16,7,16,,,,,,2,2020-03-22 02:40:02.273
17,104106,Togo,16,7,16,,,,,,2,2020-03-22 02:50:01.692
18,104295,Togo,16,7,16,,,,,,2,2020-03-22 03:00:02.482
19,104484,Togo,16,7,16,,,,,,2,2020-03-22 03:10:02.128
20,104673,Togo,16,7,16,,,,,,2,2020-03-22 03:20:02.286
21,104862,Togo,16,,16,,,,,,2,2020-03-22 03:30:01.618
22,105051,Togo,16,,16,,,,,,2,2020-03-22 03:40:02.473
23,105240,Togo,16,,16,,,,,,2,2020-03-22 03:50:02.419
24,105429,Togo,16,,16,,,,,,2,2020-03-22 04:00:02.368
25,105618,Togo,16,,16,,,,,,2,2020-03-22 04:10:02.471
26,105807,Togo,16,,16,,,,,,2,2020-03-22 04:20:02.205
27,105996,Togo,16,,16,,,,,,2,2020-03-22 04:30:01.838
28,106185,Togo,16,,16,,,,,,2,2020-03-22 04:40:01.728
29,106374,Togo,16,,16,,,,,,2,2020-03-22 04:50:02.186
30,106563,Togo,16,,16,,,,,,2,2020-03-22 05:00:02.283
31,106752,Togo,16,,16,,,,,,2,2020-03-22 05:10:02.023
32,106941,Togo,16,,16,,,,,,2,2020-03-22 05:20:02.539
33,107130,Togo,16,,16,,,,,,2,2020-03-22 05:30:01.917
34,107319,Togo,16,,16,,,,,,2,2020-03-22 05:40:02.393
35,107508,Togo,16,,16,,,,,,2,2020-03-22 05:50:01.706
36,107697,Togo,16,,16,,,,,,2,2020-03-22 06:00:02.31
37,107886,Togo,16,,16,,,,,,2,2020-03-22 06:10:02.48
38,108075,Togo,16,,16,,,,,,2,2020-03-22 06:20:02.308
39,108264,Togo,16,,16,,,,,,2,2020-03-22 06:30:02.468
40,108453,Togo,16,,16,,,,,,2,2020-03-22 06:40:01.627
41,108642,Togo,16,,16,,,,,,2,2020-03-22 06:50:02.568
42,108831,Togo,16,,16,,,,,,2,2020-03-22 07:00:01.882
43,109020,Togo,16,,16,,,,,,2,2020-03-22 07:10:01.602
44,109209,Togo,16,,16,,,,,,2,2020-03-22 07:20:01.725
45,109398,Togo,16,,16,,,,,,2,2020-03-22 07:30:02.517
46,109587,Togo,16,,16,,,,,,2,2020-03-22 07:40:02.004
47,109776,Togo,16,,16,,,,,,2,2020-03-22 07:50:01.639
48,109965,Togo,16,,16,,,,,,2,2020-03-22 08:00:02.288
49,110154,Togo,16,,16,,,,,,2,2020-03-22 08:10:01.955
50,110343,Togo,16,,16,,,,,,2,2020-03-22 08:20:02.461
51,110532,Togo,16,,16,,,,,,2,2020-03-22 08:30:01.924
52,110721,Togo,16,,16,,,,,,2,2020-03-22 08:40:02.277
53,110910,Togo,16,,16,,,,,,2,2020-03-22 08:50:01.998
54,111099,Togo,16,,16,,,,,,2,2020-03-22 09:00:02.386
55,111288,Togo,16,,16,,,,,,2,2020-03-22 09:10:02.333
56,111477,Togo,16,,16,,,,,,2,2020-03-22 09:20:01.679
57,111666,Togo,16,,16,,,,,,2,2020-03-22 09:30:01.858
58,111855,Togo,16,,16,,,,,,2,2020-03-22 09:40:02.077
59,112044,Togo,16,,16,,,,,,2,2020-03-22 09:50:02.389
60,112233,Togo,16,,16,,,,,,2,2020-03-22 10:00:01.658
61,112422,Togo,16,,16,,,,,,2,2020-03-22 10:10:02.03
62,112611,Togo,16,,16,,,,,,2,2020-03-22 10:20:02.283
63,112800,Togo,16,,16,,,,,,2,2020-03-22 10:30:02.203
64,112989,Togo,16,,16,,,,,,2,2020-03-22 10:50:02.099
65,113178,Togo,16,,16,,,,,,2,2020-03-22 11:00:01.809
66,113367,Togo,16,,16,,,,,,2,2020-03-22 11:10:02.337
67,113556,Togo,16,,16,,,,,,2,2020-03-22 11:20:02.297
68,113745,Togo,16,,16,,,,,,2,2020-03-22 11:30:02.571
69,113935,Togo,16,,16,,,,,,2,2020-03-22 11:40:01.658
70,114124,Togo,16,,16,,,,,,2,2020-03-22 11:50:02.534
71,114314,Togo,16,,16,,,,,,2,2020-03-22 12:00:01.655
72,114503,Togo,16,,16,,,,,,2,2020-03-22 12:10:02.323
73,114692,Togo,16,,16,,,,,,2,2020-03-22 12:20:01.826
74,114881,Togo,16,,16,,,,,,2,2020-03-22 12:30:02.517
75,115070,Togo,16,,16,,,,,,2,2020-03-22 12:40:02.46
76,115259,Togo,16,,16,,,,,,2,2020-03-22 12:50:02.108
77,115448,Togo,16,,16,,,,,,2,2020-03-22 13:00:01.691
78,115637,Togo,16,,16,,,,,,2,2020-03-22 13:10:01.964
79,115826,Togo,16,,16,,,,,,2,2020-03-22 13:20:01.995
80,116015,Togo,16,,16,,,,,,2,2020-03-22 13:30:02.353
81,116204,Togo,16,,16,,,,,,2,2020-03-22 13:40:02.609
82,116393,Togo,16,,16,,,,,,2,2020-03-22 13:50:01.753
83,116582,Togo,16,,16,,,,,,2,2020-03-22 14:00:02.347
84,116771,Togo,16,,16,,,,,,2,2020-03-22 14:10:02.014
85,116960,Togo,16,,16,,,,,,2,2020-03-22 14:20:01.732
86,117149,Togo,16,,16,,,,,,2,2020-03-22 14:30:02.279
87,117338,Togo,16,,16,,,,,,2,2020-03-22 14:40:01.994
88,117527,Togo,16,,16,,,,,,2,2020-03-22 14:50:01.896
89,117716,Togo,16,,16,,,,,,2,2020-03-22 15:00:01.708
90,117905,Togo,16,,16,,,,,,2,2020-03-22 15:10:01.808
91,118094,Togo,16,,16,,,,,,2,2020-03-22 15:20:02.115
92,118283,Togo,16,,16,,,,,,2,2020-03-22 15:30:02.542
93,118472,Togo,16,,16,,,,,,2,2020-03-22 15:40:01.608
94,118661,Togo,16,,16,,,,,,2,2020-03-22 15:50:02.028
95,118850,Togo,16,,16,,,,,,2,2020-03-22 16:00:01.887
96,119039,Togo,16,,16,,,,,,2,2020-03-22 16:10:02.607
97,119229,Togo,16,,16,,,,,,2,2020-03-22 16:40:02.392
98,119419,Togo,16,,16,,,,,,2,2020-03-22 16:50:02.248
99,119609,Togo,16,,16,,,,,,2,2020-03-22 17:00:02.174
100,119799,Togo,16,,16,,,,,,2,2020-03-22 17:10:01.966
101,119989,Togo,16,,16,,,,,,2,2020-03-22 17:20:01.901
102,120179,Togo,16,,16,,,,,,2,2020-03-22 17:30:03.26
103,120369,Togo,16,,16,,,,,,2,2020-03-22 17:40:03.136
104,120559,Togo,16,,16,,,,,,2,2020-03-22 17:50:01.957
105,120749,Togo,16,,16,,,,,,2,2020-03-22 18:00:01.753
106,120939,Togo,16,,16,,,,,,2,2020-03-22 18:10:02.492
107,121129,Togo,16,,16,,,,,,2,2020-03-22 18:30:02.036
108,121319,Togo,16,,16,,,,,,2,2020-03-22 18:40:02.238
109,121509,Togo,16,,16,,,,,,2,2020-03-22 18:50:02.468
110,121699,Togo,16,,16,,,,,,2,2020-03-22 19:00:01.712
111,121889,Togo,16,,16,,,,,,2,2020-03-22 19:10:01.802
112,122079,Togo,16,,16,,,,,,2,2020-03-22 19:20:01.774
113,122269,Togo,16,,16,,,,,,2,2020-03-22 19:30:02.213
114,122460,Togo,16,,16,,,,,,2,2020-03-22 19:40:02.298
115,122652,Togo,16,,16,,,,,,2,2020-03-22 19:50:02.038
116,122844,Togo,16,,16,,,,,,2,2020-03-22 20:00:02.199
117,123036,Togo,16,,16,,,,,,2,2020-03-22 20:10:02.435
118,123228,Togo,16,,16,,,,,,2,2020-03-22 20:20:01.689
119,123420,Togo,16,,16,,,,,,2,2020-03-22 20:30:01.705
120,123612,Togo,16,,16,,,,,,2,2020-03-22 20:40:02.242
121,123804,Togo,16,,16,,,,,,2,2020-03-22 20:50:02.144
122,123996,Togo,16,,16,,,,,,2,2020-03-22 21:00:01.651
123,124188,Togo,16,,16,,,,,,2,2020-03-22 21:10:02.274
124,124381,Togo,16,,16,,,,,,2,2020-03-22 21:20:02.379
125,124574,Togo,16,,16,,,,,,2,2020-03-22 21:30:02.09
126,124767,Togo,16,,16,,,,,,2,2020-03-22 21:40:02.262
127,124960,Togo,16,,16,,,,,,2,2020-03-22 21:50:02.451
128,125153,Togo,16,,16,,,,,,2,2020-03-22 22:00:02.593
129,125346,Togo,16,,16,,,,,,2,2020-03-22 22:10:02.087
130,125539,Togo,16,,16,,,,,,2,2020-03-22 22:20:01.881
131,125732,Togo,16,,16,,,,,,2,2020-03-22 22:30:01.794
132,125925,Togo,16,,16,,,,,,2,2020-03-22 22:40:01.8
133,126118,Togo,16,,16,,,,,,2,2020-03-22 22:50:01.828
134,126311,Togo,16,,16,,,,,,2,2020-03-22 23:00:02.502
135,126504,Togo,16,,16,,,,,,2,2020-03-22 23:10:02.549
136,126697,Togo,16,,16,,,,,,2,2020-03-22 23:20:01.891
137,126890,Togo,16,,16,,,,,,2,2020-03-22 23:30:01.863
138,127083,Togo,16,,16,,,,,,2,2020-03-22 23:40:02.207
139,127276,Togo,16,,16,,,,,,2,2020-03-22 23:50:01.664
140,127469,Togo,16,,16,,,,,,2,2020-03-23 00:00:02.179
141,127663,Togo,16,,16,,,,,,2,2020-03-23 00:10:01.95
142,127856,Togo,16,,16,,,,,,2,2020-03-23 00:20:02.492
143,128049,Togo,16,,16,,,,,,2,2020-03-23 00:30:02.344
144,128242,Togo,16,,16,,,,,,2,2020-03-23 00:40:01.875
145,128435,Togo,16,,16,,,,,,2,2020-03-23 00:50:02.095
146,128628,Togo,16,,16,,,,,,2,2020-03-23 01:00:02.319
