,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100857,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 00:00:02.483
1,101046,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 00:10:02.327
2,101235,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 00:20:02.401
3,101424,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 00:30:02.053
4,101613,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 00:40:02.56
5,101802,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 00:50:01.898
6,101991,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 01:00:01.656
7,102180,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 01:10:02.184
8,102369,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 01:20:02.26
9,102558,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 01:30:02.051
10,102747,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 01:40:02.218
11,102936,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 01:50:02.054
12,103126,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 02:00:01.626
13,103315,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 02:10:01.659
14,103504,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 02:20:02.44
15,103693,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 02:30:01.848
16,103882,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 02:40:02.273
17,104071,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 02:50:01.692
18,104260,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 03:00:02.482
19,104449,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 03:10:02.128
20,104638,Tunisia,60,6,58,1,,1,7,,5,2020-03-22 03:20:02.286
21,104827,Tunisia,60,,58,1,,1,7,,5,2020-03-22 03:30:01.618
22,105016,Tunisia,60,,58,1,,1,7,,5,2020-03-22 03:40:02.473
23,105205,Tunisia,60,,58,1,,1,7,,5,2020-03-22 03:50:02.419
24,105394,Tunisia,60,,58,1,,1,7,,5,2020-03-22 04:00:02.368
25,105583,Tunisia,60,,58,1,,1,7,,5,2020-03-22 04:10:02.471
26,105772,Tunisia,60,,58,1,,1,7,,5,2020-03-22 04:20:02.205
27,105961,Tunisia,60,,58,1,,1,7,,5,2020-03-22 04:30:01.838
28,106150,Tunisia,60,,58,1,,1,7,,5,2020-03-22 04:40:01.728
29,106339,Tunisia,60,,58,1,,1,7,,5,2020-03-22 04:50:02.186
30,106528,Tunisia,60,,58,1,,1,7,,5,2020-03-22 05:00:02.283
31,106717,Tunisia,60,,58,1,,1,7,,5,2020-03-22 05:10:02.023
32,106906,Tunisia,60,,58,1,,1,7,,5,2020-03-22 05:20:02.539
33,107095,Tunisia,60,,58,1,,1,7,,5,2020-03-22 05:30:01.917
34,107284,Tunisia,60,,58,1,,1,7,,5,2020-03-22 05:40:02.393
35,107473,Tunisia,60,,58,1,,1,7,,5,2020-03-22 05:50:01.706
36,107662,Tunisia,60,,58,1,,1,7,,5,2020-03-22 06:00:02.31
37,107851,Tunisia,60,,58,1,,1,7,,5,2020-03-22 06:10:02.48
38,108040,Tunisia,60,,58,1,,1,7,,5,2020-03-22 06:20:02.308
39,108229,Tunisia,60,,58,1,,1,7,,5,2020-03-22 06:30:02.468
40,108418,Tunisia,60,,58,1,,1,7,,5,2020-03-22 06:40:01.627
41,108607,Tunisia,60,,58,1,,1,7,,5,2020-03-22 06:50:02.568
42,108796,Tunisia,60,,58,1,,1,7,,5,2020-03-22 07:00:01.882
43,108985,Tunisia,60,,58,1,,1,7,,5,2020-03-22 07:10:01.602
44,109174,Tunisia,60,,58,1,,1,7,,5,2020-03-22 07:20:01.725
45,109363,Tunisia,60,,58,1,,1,7,,5,2020-03-22 07:30:02.517
46,109552,Tunisia,60,,58,1,,1,7,,5,2020-03-22 07:40:02.004
47,109741,Tunisia,60,,58,1,,1,7,,5,2020-03-22 07:50:01.639
48,109930,Tunisia,60,,58,1,,1,7,,5,2020-03-22 08:00:02.288
49,110119,Tunisia,60,,58,1,,1,7,,5,2020-03-22 08:10:01.955
50,110308,Tunisia,60,,58,1,,1,7,,5,2020-03-22 08:20:02.461
51,110497,Tunisia,60,,58,1,,1,7,,5,2020-03-22 08:30:01.924
52,110686,Tunisia,60,,58,1,,1,7,,5,2020-03-22 08:40:02.277
53,110875,Tunisia,60,,58,1,,1,7,,5,2020-03-22 08:50:01.998
54,111064,Tunisia,60,,58,1,,1,7,,5,2020-03-22 09:00:02.386
55,111253,Tunisia,60,,58,1,,1,7,,5,2020-03-22 09:10:02.333
56,111442,Tunisia,60,,58,1,,1,7,,5,2020-03-22 09:20:01.679
57,111631,Tunisia,60,,58,1,,1,7,,5,2020-03-22 09:30:01.858
58,111820,Tunisia,60,,58,1,,1,7,,5,2020-03-22 09:40:02.077
59,112009,Tunisia,60,,58,1,,1,7,,5,2020-03-22 09:50:02.389
60,112198,Tunisia,60,,58,1,,1,7,,5,2020-03-22 10:00:01.658
