,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100777,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 00:00:02.483
1,100868,Ukraine,47,6,43,3,,1,,,1,2020-03-22 00:00:02.483
2,100966,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 00:10:02.327
3,101057,Ukraine,47,6,43,3,,1,,,1,2020-03-22 00:10:02.327
4,101155,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 00:20:02.401
5,101246,Ukraine,47,6,43,3,,1,,,1,2020-03-22 00:20:02.401
6,101344,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 00:30:02.053
7,101435,Ukraine,47,6,43,3,,1,,,1,2020-03-22 00:30:02.053
8,101533,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 00:40:02.56
9,101624,Ukraine,47,6,43,3,,1,,,1,2020-03-22 00:40:02.56
10,101722,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 00:50:01.898
11,101813,Ukraine,47,6,43,3,,1,,,1,2020-03-22 00:50:01.898
12,101911,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 01:00:01.656
13,102002,Ukraine,47,6,43,3,,1,,,1,2020-03-22 01:00:01.656
14,102100,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 01:10:02.184
15,102191,Ukraine,47,6,43,3,,1,,,1,2020-03-22 01:10:02.184
16,102289,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 01:20:02.26
17,102380,Ukraine,47,6,43,3,,1,,,1,2020-03-22 01:20:02.26
18,102478,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 01:30:02.051
19,102569,Ukraine,47,6,43,3,,1,,,1,2020-03-22 01:30:02.051
20,102667,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 01:40:02.218
21,102758,Ukraine,47,6,43,3,,1,,,1,2020-03-22 01:40:02.218
22,102856,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 01:50:02.054
23,102947,Ukraine,47,6,43,3,,1,,,1,2020-03-22 01:50:02.054
24,103045,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 02:00:01.626
25,103136,Ukraine,47,6,43,3,,1,,,1,2020-03-22 02:00:01.626
26,103234,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 02:10:01.659
27,103325,Ukraine,47,6,43,3,,1,,,1,2020-03-22 02:10:01.659
28,103423,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 02:20:02.44
29,103514,Ukraine,47,6,43,3,,1,,,1,2020-03-22 02:20:02.44
30,103612,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 02:30:01.848
31,103703,Ukraine,47,6,43,3,,1,,,1,2020-03-22 02:30:01.848
32,103801,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 02:40:02.273
33,103892,Ukraine,47,6,43,3,,1,,,1,2020-03-22 02:40:02.273
34,103990,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 02:50:01.692
35,104081,Ukraine,47,6,43,3,,1,,,1,2020-03-22 02:50:01.692
36,104179,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 03:00:02.482
37,104270,Ukraine,47,6,43,3,,1,,,1,2020-03-22 03:00:02.482
38,104368,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 03:10:02.128
39,104459,Ukraine,47,6,43,3,,1,,,1,2020-03-22 03:10:02.128
40,104557,UK,"5,018","1,035","4,692",233,56,93,20,,74,2020-03-22 03:20:02.286
41,104648,Ukraine,47,6,43,3,,1,,,1,2020-03-22 03:20:02.286
42,104746,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 03:30:01.618
43,104837,Ukraine,47,,43,3,,1,,,1,2020-03-22 03:30:01.618
44,104935,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 03:40:02.473
45,105026,Ukraine,47,,43,3,,1,,,1,2020-03-22 03:40:02.473
46,105124,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 03:50:02.419
47,105215,Ukraine,47,,43,3,,1,,,1,2020-03-22 03:50:02.419
48,105313,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 04:00:02.368
49,105404,Ukraine,47,,43,3,,1,,,1,2020-03-22 04:00:02.368
50,105502,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 04:10:02.471
51,105593,Ukraine,47,,43,3,,1,,,1,2020-03-22 04:10:02.471
52,105691,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 04:20:02.205
53,105782,Ukraine,47,,43,3,,1,,,1,2020-03-22 04:20:02.205
54,105880,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 04:30:01.838
55,105971,Ukraine,47,,43,3,,1,,,1,2020-03-22 04:30:01.838
56,106069,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 04:40:01.728
57,106160,Ukraine,47,,43,3,,1,,,1,2020-03-22 04:40:01.728
58,106258,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 04:50:02.186
59,106349,Ukraine,47,,43,3,,1,,,1,2020-03-22 04:50:02.186
60,106447,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 05:00:02.283
61,106538,Ukraine,47,,43,3,,1,,,1,2020-03-22 05:00:02.283
62,106636,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 05:10:02.023
63,106727,Ukraine,47,,43,3,,1,,,1,2020-03-22 05:10:02.023
64,106825,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 05:20:02.539
65,106916,Ukraine,47,,43,3,,1,,,1,2020-03-22 05:20:02.539
66,107014,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 05:30:01.917
67,107105,Ukraine,47,,43,3,,1,,,1,2020-03-22 05:30:01.917
68,107203,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 05:40:02.393
69,107294,Ukraine,47,,43,3,,1,,,1,2020-03-22 05:40:02.393
70,107392,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 05:50:01.706
71,107483,Ukraine,47,,43,3,,1,,,1,2020-03-22 05:50:01.706
72,107581,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 06:00:02.31
73,107672,Ukraine,47,,43,3,,1,,,1,2020-03-22 06:00:02.31
74,107861,Ukraine,47,,43,3,,1,,,1,2020-03-22 06:10:02.48
75,107770,UK,"5,018",,"4,692",233,,93,20,,74,2020-03-22 06:10:02.48
