,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100771,USA,"24,218","4,835","23,745",302,46,171,64,,73,2020-03-22 00:00:02.483
1,100959,USA,"25,896","6,513","25,404",316,60,176,64,,78,2020-03-22 00:10:02.327
2,101148,USA,"25,896","6,513","25,404",316,60,176,64,,78,2020-03-22 00:20:02.401
3,101337,USA,"25,896","6,513","25,404",316,60,176,64,,78,2020-03-22 00:30:02.053
4,101526,USA,"25,896","6,513","25,404",316,60,176,64,,78,2020-03-22 00:40:02.56
5,101715,USA,"26,111","6,728","25,611",324,68,176,64,,79,2020-03-22 00:50:01.898
6,101904,USA,"26,111","6,728","25,611",324,68,176,64,,79,2020-03-22 01:00:01.656
7,102093,USA,"26,112","6,729","25,611",325,69,176,64,,79,2020-03-22 01:10:02.184
8,102282,USA,"26,112","6,729","25,611",325,69,176,64,,79,2020-03-22 01:20:02.26
9,102471,USA,"26,685","7,302","26,169",340,84,176,64,,81,2020-03-22 01:30:02.051
10,102660,USA,"26,687","7,304","26,171",340,84,176,64,,81,2020-03-22 01:40:02.218
11,102849,USA,"27,069","7,686","26,553",340,84,176,64,,82,2020-03-22 01:50:02.054
12,103038,USA,"27,069","7,686","26,553",340,84,176,64,,82,2020-03-22 02:00:01.626
13,103227,USA,"26,684","7,301","26,168",340,84,176,64,,81,2020-03-22 02:10:01.659
14,103416,USA,"26,684","7,301","26,168",340,84,176,64,,81,2020-03-22 02:20:02.44
15,103605,USA,"26,686","7,303","26,170",340,84,176,64,,81,2020-03-22 02:30:01.848
16,103794,USA,"26,686","7,303","26,170",340,84,176,64,,81,2020-03-22 02:40:02.273
17,103983,USA,"26,711","7,328","26,194",341,85,176,64,,81,2020-03-22 02:50:01.692
18,104172,USA,"26,779","7,396","26,259",344,88,176,64,,81,2020-03-22 03:00:02.482
19,104361,USA,"26,784","7,401","26,264",344,88,176,64,,81,2020-03-22 03:10:02.128
20,104550,USA,"26,784","7,401","26,264",344,88,176,64,,81,2020-03-22 03:20:02.286
21,104739,USA,"26,825","2,618","26,304",345,43,176,64,,81,2020-03-22 03:30:01.618
22,104928,USA,"26,847","2,640","26,325",346,44,176,64,,81,2020-03-22 03:40:02.473
23,105117,USA,"26,859","2,652","26,333",348,46,178,64,,81,2020-03-22 03:50:02.419
24,105306,USA,"26,859","2,652","26,333",348,46,178,64,,81,2020-03-22 04:00:02.368
25,105495,USA,"26,863","2,656","26,337",348,46,178,64,,81,2020-03-22 04:10:02.471
26,105684,USA,"26,863","2,656","26,337",348,46,178,64,,81,2020-03-22 04:20:02.205
27,105873,USA,"26,863","2,656","26,337",348,46,178,64,,81,2020-03-22 04:30:01.838
28,106062,USA,"26,867","2,660","26,341",348,46,178,64,,81,2020-03-22 04:40:01.728
29,106251,USA,"26,867","2,660","26,341",348,46,178,64,,81,2020-03-22 04:50:02.186
30,106440,USA,"26,867","2,660","26,341",348,46,178,64,,81,2020-03-22 05:00:02.283
31,106629,USA,"26,867","2,660","26,341",348,46,178,708,,81,2020-03-22 05:10:02.023
32,106818,USA,"26,867","2,660","26,341",348,46,178,708,,81,2020-03-22 05:20:02.539
33,107007,USA,"26,878","2,671","26,348",348,46,182,708,,81,2020-03-22 05:30:01.917
34,107196,USA,"26,878","2,671","26,352",348,46,178,708,,81,2020-03-22 05:40:02.393
35,107385,USA,"26,878","2,671","26,352",348,46,178,708,,81,2020-03-22 05:50:01.706
36,107574,USA,"26,888","2,681","26,362",348,46,178,708,,81,2020-03-22 06:00:02.31
37,107763,USA,"26,888","2,681","26,362",348,46,178,708,,81,2020-03-22 06:10:02.48
38,107952,USA,"26,888","2,681","26,362",348,46,178,708,,81,2020-03-22 06:20:02.308
39,108141,USA,"26,888","2,681","26,362",348,46,178,708,,81,2020-03-22 06:30:02.468
40,108330,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 06:40:01.627
41,108519,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 06:50:02.568
42,108708,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 07:00:01.882
43,108897,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 07:10:01.602
44,109086,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 07:20:01.725
45,109275,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 07:30:02.517
46,109464,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 07:40:02.004
47,109653,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 07:50:01.639
48,109842,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 08:00:02.288
49,110031,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 08:10:01.955
50,110220,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 08:20:02.461
51,110409,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 08:30:01.924
52,110598,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 08:40:02.277
53,110787,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 08:50:01.998
54,110976,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 09:00:02.386
55,111165,USA,"26,892","2,685","26,366",348,46,178,708,,81,2020-03-22 09:10:02.333
56,111354,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 09:20:01.679
57,111543,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 09:30:01.858
58,111732,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 09:40:02.077
59,111921,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 09:50:02.389
60,112110,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 10:00:01.658
61,112299,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 10:10:02.03
62,112488,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 10:20:02.283
63,112677,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 10:30:02.203
64,112866,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 10:50:02.099
65,113055,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 11:00:01.809
66,113245,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 11:10:02.337
67,113434,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 11:20:02.297
68,113623,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 11:30:02.571
69,113812,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 11:40:01.658
70,114001,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 11:50:02.534
71,114190,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 12:00:01.655
72,114379,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 12:10:02.323
73,114568,USA,"26,900","2,693","26,374",348,46,178,708,,81,2020-03-22 12:20:01.826
74,114757,USA,"26,904","2,697","26,378",348,46,178,708,,81,2020-03-22 12:30:02.517
75,114946,USA,"26,905","2,698","26,379",348,46,178,708,,81,2020-03-22 12:40:02.46
76,115135,USA,"26,905","2,698","26,379",348,46,178,708,,81,2020-03-22 12:50:02.108
77,115324,USA,"26,906","2,699","26,380",348,46,178,708,,81,2020-03-22 13:00:01.691
78,115513,USA,"26,906","2,699","26,380",348,46,178,708,,81,2020-03-22 13:10:01.964
79,115702,USA,"26,908","2,701","26,382",348,46,178,708,,81,2020-03-22 13:20:01.995
80,115891,USA,"26,908","2,701","26,382",348,46,178,708,,81,2020-03-22 13:30:02.353
81,116080,USA,"26,909","2,702","26,383",348,46,178,708,,81,2020-03-22 13:40:02.609
82,116269,USA,"26,909","2,702","26,382",349,47,178,708,,81,2020-03-22 13:50:01.753
83,116458,USA,"26,909","2,702","26,382",349,47,178,708,,81,2020-03-22 14:00:02.347
84,116647,USA,"26,909","2,702","26,382",349,47,178,708,,81,2020-03-22 14:10:02.014
85,116836,USA,"26,909","2,702","26,382",349,47,178,708,,81,2020-03-22 14:20:01.732
86,117025,USA,"26,909","2,702","26,382",349,47,178,708,,81,2020-03-22 14:30:02.279
87,117214,USA,"26,959","2,752","26,432",349,47,178,708,,81,2020-03-22 14:40:01.994
88,117403,USA,"27,031","2,824","26,504",349,47,178,708,,82,2020-03-22 14:50:01.896
89,117592,USA,"27,031","2,824","26,504",349,47,178,708,,82,2020-03-22 15:00:01.708
90,117781,USA,"27,107","2,900","26,580",349,47,178,708,,82,2020-03-22 15:10:01.808
91,117970,USA,"27,120","2,913","26,593",349,47,178,708,,82,2020-03-22 15:20:02.115
92,118159,USA,"27,137","2,930","26,610",349,47,178,708,,82,2020-03-22 15:30:02.542
93,118348,USA,"27,151","2,944","26,624",349,47,178,708,,82,2020-03-22 15:40:01.608
94,118537,USA,"27,151","2,944","26,624",349,47,178,708,,82,2020-03-22 15:50:02.028
95,118726,USA,"27,151","2,944","26,624",349,47,178,708,,82,2020-03-22 16:00:01.887
96,118915,USA,"27,630","3,423","27,103",349,47,178,708,,83,2020-03-22 16:10:02.607
97,119104,USA,"30,239","6,032","29,673",388,86,178,708,,91,2020-03-22 16:40:02.392
98,119294,USA,"30,239","6,032","29,673",388,86,178,708,,91,2020-03-22 16:50:02.248
99,119484,USA,"30,291","6,084","29,725",388,86,178,708,,92,2020-03-22 17:00:02.174
100,119674,USA,"30,291","6,084","29,725",388,86,178,708,,92,2020-03-22 17:10:01.966
101,119864,USA,"32,801","8,594","32,232",391,89,178,708,,99,2020-03-22 17:20:01.901
102,120054,USA,"35,746","11,539","35,176",392,90,178,708,,108,2020-03-22 17:30:03.26
103,120244,USA,"32,037","7,830","31,467",392,90,178,708,,97,2020-03-22 17:40:03.136
104,120434,USA,"38,138","13,931","37,564",396,94,178,708,,115,2020-03-22 17:50:01.957
105,120624,USA,"38,165","13,958","37,591",396,94,178,708,,115,2020-03-22 18:00:01.753
106,120814,USA,"38,164","13,957","37,590",396,94,178,708,,115,2020-03-22 18:10:02.492
107,121004,USA,"38,167","13,960","37,593",396,94,178,708,,115,2020-03-22 18:30:02.036
108,121194,USA,"38,757","14,550","38,179",400,98,178,708,,117,2020-03-22 18:40:02.238
109,121384,USA,"38,757","14,550","38,179",400,98,178,795,,117,2020-03-22 18:50:02.468
110,121574,USA,"38,757","14,550","38,179",400,98,178,795,,117,2020-03-22 19:00:01.712
111,121764,USA,"38,757","14,550","38,179",400,98,178,795,,117,2020-03-22 19:10:01.802
112,121954,USA,"38,757","14,550","38,179",400,98,178,795,,117,2020-03-22 19:20:01.774
113,122144,USA,"38,757","14,550","38,179",400,98,178,795,,117,2020-03-22 19:30:02.213
114,122335,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 19:40:02.298
115,122527,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 19:50:02.038
116,122719,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 20:00:02.199
117,122911,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 20:10:02.435
118,123103,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 20:20:01.689
119,123295,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 20:30:01.705
120,123487,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 20:40:02.242
121,123679,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 20:50:02.144
122,123871,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 21:00:01.651
123,124063,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 21:10:02.274
124,124256,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 21:20:02.379
125,124449,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 21:30:02.09
126,124642,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 21:40:02.262
127,124835,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 21:50:02.451
128,125028,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 22:00:02.593
129,125221,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 22:10:02.087
130,125414,USA,"32,356","8,149","31,764",414,112,178,795,,98,2020-03-22 22:20:01.881
