,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100947,Vatican City,1,,1,,,,,,"1,248",2020-03-22 00:00:02.483
1,101136,Vatican City,1,,1,,,,,,"1,248",2020-03-22 00:10:02.327
2,101325,Vatican City,1,,1,,,,,,"1,248",2020-03-22 00:20:02.401
3,101514,Vatican City,1,,1,,,,,,"1,248",2020-03-22 00:30:02.053
4,101703,Vatican City,1,,1,,,,,,"1,248",2020-03-22 00:40:02.56
5,101892,Vatican City,1,,1,,,,,,"1,248",2020-03-22 00:50:01.898
6,102081,Vatican City,1,,1,,,,,,"1,248",2020-03-22 01:00:01.656
7,102270,Vatican City,1,,1,,,,,,"1,248",2020-03-22 01:10:02.184
8,102459,Vatican City,1,,1,,,,,,"1,248",2020-03-22 01:20:02.26
9,102648,Vatican City,1,,1,,,,,,"1,248",2020-03-22 01:30:02.051
10,102837,Vatican City,1,,1,,,,,,"1,248",2020-03-22 01:40:02.218
11,103026,Vatican City,1,,1,,,,,,"1,248",2020-03-22 01:50:02.054
12,103215,Vatican City,1,,1,,,,,,"1,248",2020-03-22 02:00:01.626
13,103404,Vatican City,1,,1,,,,,,"1,248",2020-03-22 02:10:01.659
14,103593,Vatican City,1,,1,,,,,,"1,248",2020-03-22 02:20:02.44
15,103782,Vatican City,1,,1,,,,,,"1,248",2020-03-22 02:30:01.848
16,103971,Vatican City,1,,1,,,,,,"1,248",2020-03-22 02:40:02.273
17,104160,Vatican City,1,,1,,,,,,"1,248",2020-03-22 02:50:01.692
18,104349,Vatican City,1,,1,,,,,,"1,248",2020-03-22 03:00:02.482
19,104538,Vatican City,1,,1,,,,,,"1,248",2020-03-22 03:10:02.128
20,104727,Vatican City,1,,1,,,,,,"1,248",2020-03-22 03:20:02.286
21,104916,Vatican City,1,,1,,,,,,"1,248",2020-03-22 03:30:01.618
22,105105,Vatican City,1,,1,,,,,,"1,248",2020-03-22 03:40:02.473
23,105294,Vatican City,1,,1,,,,,,"1,248",2020-03-22 03:50:02.419
24,105483,Vatican City,1,,1,,,,,,"1,248",2020-03-22 04:00:02.368
25,105672,Vatican City,1,,1,,,,,,"1,248",2020-03-22 04:10:02.471
26,105861,Vatican City,1,,1,,,,,,"1,248",2020-03-22 04:20:02.205
27,106050,Vatican City,1,,1,,,,,,"1,248",2020-03-22 04:30:01.838
28,106240,Vatican City,1,,1,,,,,,"1,248",2020-03-22 04:40:01.728
29,106429,Vatican City,1,,1,,,,,,"1,248",2020-03-22 04:50:02.186
30,106618,Vatican City,1,,1,,,,,,"1,248",2020-03-22 05:00:02.283
31,106807,Vatican City,1,,1,,,,,,"1,248",2020-03-22 05:10:02.023
32,106996,Vatican City,1,,1,,,,,,"1,248",2020-03-22 05:20:02.539
33,107185,Vatican City,1,,1,,,,,,"1,248",2020-03-22 05:30:01.917
34,107374,Vatican City,1,,1,,,,,,"1,248",2020-03-22 05:40:02.393
35,107563,Vatican City,1,,1,,,,,,"1,248",2020-03-22 05:50:01.706
36,107752,Vatican City,1,,1,,,,,,"1,248",2020-03-22 06:00:02.31
37,107941,Vatican City,1,,1,,,,,,"1,248",2020-03-22 06:10:02.48
38,108130,Vatican City,1,,1,,,,,,"1,248",2020-03-22 06:20:02.308
39,108319,Vatican City,1,,1,,,,,,"1,248",2020-03-22 06:30:02.468
40,108508,Vatican City,1,,1,,,,,,"1,248",2020-03-22 06:40:01.627
41,108697,Vatican City,1,,1,,,,,,"1,248",2020-03-22 06:50:02.568
42,108886,Vatican City,1,,1,,,,,,"1,248",2020-03-22 07:00:01.882
43,109075,Vatican City,1,,1,,,,,,"1,248",2020-03-22 07:10:01.602
44,109264,Vatican City,1,,1,,,,,,"1,248",2020-03-22 07:20:01.725
45,109453,Vatican City,1,,1,,,,,,"1,248",2020-03-22 07:30:02.517
46,109642,Vatican City,1,,1,,,,,,"1,248",2020-03-22 07:40:02.004
47,109831,Vatican City,1,,1,,,,,,"1,248",2020-03-22 07:50:01.639
48,110020,Vatican City,1,,1,,,,,,"1,248",2020-03-22 08:00:02.288
49,110209,Vatican City,1,,1,,,,,,"1,248",2020-03-22 08:10:01.955
50,110398,Vatican City,1,,1,,,,,,"1,248",2020-03-22 08:20:02.461
51,110587,Vatican City,1,,1,,,,,,"1,248",2020-03-22 08:30:01.924
52,110776,Vatican City,1,,1,,,,,,"1,248",2020-03-22 08:40:02.277
53,110965,Vatican City,1,,1,,,,,,"1,248",2020-03-22 08:50:01.998
54,111154,Vatican City,1,,1,,,,,,"1,248",2020-03-22 09:00:02.386
55,111343,Vatican City,1,,1,,,,,,"1,248",2020-03-22 09:10:02.333
56,111532,Vatican City,1,,1,,,,,,"1,248",2020-03-22 09:20:01.679
