,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100855,Venezuela,70,5,55,,,15,2,,2,2020-03-22 00:00:02.483
1,101044,Venezuela,70,5,55,,,15,2,,2,2020-03-22 00:10:02.327
2,101233,Venezuela,70,5,55,,,15,2,,2,2020-03-22 00:20:02.401
3,101422,Venezuela,70,5,55,,,15,2,,2,2020-03-22 00:30:02.053
4,101611,Venezuela,70,5,55,,,15,2,,2,2020-03-22 00:40:02.56
5,101800,Venezuela,70,5,55,,,15,2,,2,2020-03-22 00:50:01.898
6,101989,Venezuela,70,5,55,,,15,2,,2,2020-03-22 01:00:01.656
7,102178,Venezuela,70,5,55,,,15,2,,2,2020-03-22 01:10:02.184
8,102367,Venezuela,70,5,55,,,15,2,,2,2020-03-22 01:20:02.26
9,102556,Venezuela,70,5,55,,,15,2,,2,2020-03-22 01:30:02.051
10,102745,Venezuela,70,5,55,,,15,2,,2,2020-03-22 01:40:02.218
11,102934,Venezuela,70,5,55,,,15,2,,2,2020-03-22 01:50:02.054
12,103123,Venezuela,70,5,55,,,15,2,,2,2020-03-22 02:00:01.626
13,103312,Venezuela,70,5,55,,,15,2,,2,2020-03-22 02:10:01.659
14,103501,Venezuela,70,5,55,,,15,2,,2,2020-03-22 02:20:02.44
15,103690,Venezuela,70,5,55,,,15,2,,2,2020-03-22 02:30:01.848
16,103879,Venezuela,70,5,55,,,15,2,,2,2020-03-22 02:40:02.273
17,104068,Venezuela,70,5,55,,,15,2,,2,2020-03-22 02:50:01.692
18,104257,Venezuela,70,5,55,,,15,2,,2,2020-03-22 03:00:02.482
19,104446,Venezuela,70,5,55,,,15,2,,2,2020-03-22 03:10:02.128
20,104635,Venezuela,70,5,55,,,15,2,,2,2020-03-22 03:20:02.286
21,104824,Venezuela,70,,55,,,15,2,,2,2020-03-22 03:30:01.618
22,105013,Venezuela,70,,55,,,15,2,,2,2020-03-22 03:40:02.473
23,105202,Venezuela,70,,55,,,15,2,,2,2020-03-22 03:50:02.419
24,105391,Venezuela,70,,55,,,15,2,,2,2020-03-22 04:00:02.368
25,105580,Venezuela,70,,55,,,15,2,,2,2020-03-22 04:10:02.471
26,105769,Venezuela,70,,55,,,15,2,,2,2020-03-22 04:20:02.205
27,105958,Venezuela,70,,55,,,15,2,,2,2020-03-22 04:30:01.838
28,106147,Venezuela,70,,55,,,15,2,,2,2020-03-22 04:40:01.728
29,106336,Venezuela,70,,55,,,15,2,,2,2020-03-22 04:50:02.186
30,106525,Venezuela,70,,55,,,15,2,,2,2020-03-22 05:00:02.283
31,106714,Venezuela,70,,55,,,15,2,,2,2020-03-22 05:10:02.023
32,106903,Venezuela,70,,55,,,15,2,,2,2020-03-22 05:20:02.539
33,107092,Venezuela,70,,55,,,15,2,,2,2020-03-22 05:30:01.917
34,107281,Venezuela,70,,55,,,15,2,,2,2020-03-22 05:40:02.393
35,107470,Venezuela,70,,55,,,15,2,,2,2020-03-22 05:50:01.706
36,107659,Venezuela,70,,55,,,15,2,,2,2020-03-22 06:00:02.31
37,107848,Venezuela,70,,55,,,15,2,,2,2020-03-22 06:10:02.48
38,108037,Venezuela,70,,55,,,15,2,,2,2020-03-22 06:20:02.308
39,108226,Venezuela,70,,55,,,15,2,,2,2020-03-22 06:30:02.468
40,108415,Venezuela,70,,55,,,15,2,,2,2020-03-22 06:40:01.627
41,108604,Venezuela,70,,55,,,15,2,,2,2020-03-22 06:50:02.568
42,108793,Venezuela,70,,55,,,15,2,,2,2020-03-22 07:00:01.882
43,108982,Venezuela,70,,55,,,15,2,,2,2020-03-22 07:10:01.602
44,109171,Venezuela,70,,55,,,15,2,,2,2020-03-22 07:20:01.725
45,109360,Venezuela,70,,55,,,15,2,,2,2020-03-22 07:30:02.517
46,109549,Venezuela,70,,55,,,15,2,,2,2020-03-22 07:40:02.004
47,109738,Venezuela,70,,55,,,15,2,,2,2020-03-22 07:50:01.639
48,109927,Venezuela,70,,55,,,15,2,,2,2020-03-22 08:00:02.288
49,110116,Venezuela,70,,55,,,15,2,,2,2020-03-22 08:10:01.955
50,110305,Venezuela,70,,55,,,15,2,,2,2020-03-22 08:20:02.461
51,110494,Venezuela,70,,55,,,15,2,,2,2020-03-22 08:30:01.924
52,110683,Venezuela,70,,55,,,15,2,,2,2020-03-22 08:40:02.277
53,110872,Venezuela,70,,55,,,15,2,,2,2020-03-22 08:50:01.998
54,111061,Venezuela,70,,55,,,15,2,,2,2020-03-22 09:00:02.386
55,111250,Venezuela,70,,55,,,15,2,,2,2020-03-22 09:10:02.333
56,111439,Venezuela,70,,55,,,15,2,,2,2020-03-22 09:20:01.679
57,111628,Venezuela,70,,55,,,15,2,,2,2020-03-22 09:30:01.858
58,111817,Venezuela,70,,55,,,15,2,,2,2020-03-22 09:40:02.077
59,112006,Venezuela,70,,55,,,15,2,,2,2020-03-22 09:50:02.389
60,112195,Venezuela,70,,55,,,15,2,,2,2020-03-22 10:00:01.658
61,112384,Venezuela,70,,55,,,15,2,,2,2020-03-22 10:10:02.03
62,112573,Venezuela,70,,55,,,15,2,,2,2020-03-22 10:20:02.283
63,112762,Venezuela,70,,55,,,15,2,,2,2020-03-22 10:30:02.203
64,112951,Venezuela,70,,55,,,15,2,,2,2020-03-22 10:50:02.099
65,113140,Venezuela,70,,55,,,15,2,,2,2020-03-22 11:00:01.809
66,113329,Venezuela,70,,55,,,15,2,,2,2020-03-22 11:10:02.337
67,113518,Venezuela,70,,55,,,15,2,,2,2020-03-22 11:20:02.297
68,113708,Venezuela,70,,55,,,15,2,,2,2020-03-22 11:30:02.571
69,113897,Venezuela,70,,55,,,15,2,,2,2020-03-22 11:40:01.658
70,114086,Venezuela,70,,55,,,15,2,,2,2020-03-22 11:50:02.534
71,114275,Venezuela,70,,55,,,15,2,,2,2020-03-22 12:00:01.655
72,114464,Venezuela,70,,55,,,15,2,,2,2020-03-22 12:10:02.323
73,114653,Venezuela,70,,55,,,15,2,,2,2020-03-22 12:20:01.826
74,114842,Venezuela,70,,55,,,15,2,,2,2020-03-22 12:30:02.517
75,115031,Venezuela,70,,55,,,15,2,,2,2020-03-22 12:40:02.46
76,115220,Venezuela,70,,55,,,15,2,,2,2020-03-22 12:50:02.108
77,115410,Venezuela,70,,55,,,15,2,,2,2020-03-22 13:00:01.691
78,115599,Venezuela,70,,55,,,15,2,,2,2020-03-22 13:10:01.964
79,115788,Venezuela,70,,55,,,15,2,,2,2020-03-22 13:20:01.995
80,115977,Venezuela,70,,55,,,15,2,,2,2020-03-22 13:30:02.353
81,116166,Venezuela,70,,55,,,15,2,,2,2020-03-22 13:40:02.609
82,116355,Venezuela,70,,55,,,15,2,,2,2020-03-22 13:50:01.753
83,116544,Venezuela,70,,55,,,15,2,,2,2020-03-22 14:00:02.347
84,116733,Venezuela,70,,55,,,15,2,,2,2020-03-22 14:10:02.014
85,116922,Venezuela,70,,55,,,15,2,,2,2020-03-22 14:20:01.732
86,117111,Venezuela,70,,55,,,15,2,,2,2020-03-22 14:30:02.279
87,117300,Venezuela,70,,55,,,15,2,,2,2020-03-22 14:40:01.994
88,117489,Venezuela,70,,55,,,15,2,,2,2020-03-22 14:50:01.896
89,117678,Venezuela,70,,55,,,15,2,,2,2020-03-22 15:00:01.708
90,117867,Venezuela,70,,55,,,15,2,,2,2020-03-22 15:10:01.808
91,118056,Venezuela,70,,55,,,15,2,,2,2020-03-22 15:20:02.115
92,118245,Venezuela,70,,55,,,15,2,,2,2020-03-22 15:30:02.542
93,118435,Venezuela,70,,55,,,15,2,,2,2020-03-22 15:40:01.608
94,118624,Venezuela,70,,55,,,15,2,,2,2020-03-22 15:50:02.028
95,118813,Venezuela,70,,55,,,15,2,,2,2020-03-22 16:00:01.887
96,119002,Venezuela,70,,55,,,15,2,,2,2020-03-22 16:10:02.607
97,119192,Venezuela,70,,55,,,15,2,,2,2020-03-22 16:40:02.392
98,119382,Venezuela,70,,55,,,15,2,,2,2020-03-22 16:50:02.248
99,119572,Venezuela,70,,55,,,15,2,,2,2020-03-22 17:00:02.174
100,119762,Venezuela,70,,55,,,15,2,,2,2020-03-22 17:10:01.966
101,119952,Venezuela,70,,55,,,15,2,,2,2020-03-22 17:20:01.901
102,120142,Venezuela,70,,55,,,15,2,,2,2020-03-22 17:30:03.26
103,120332,Venezuela,70,,55,,,15,2,,2,2020-03-22 17:40:03.136
104,120522,Venezuela,70,,55,,,15,2,,2,2020-03-22 17:50:01.957
