Reviews,Label
"My husband and I had a rare afternoon off so we decided to try this place. I had been here once before with my friend for drinks after work and enjoyed. We sat down and the waitress gave us the entire menu, no explanation or indication that the whole menu was not available. We were going to order some food (late lunch, about 2:30) and the waitress came back and said the kitchen was closed. Okay, no big deal, we'll have some wine and find a place to eat in the area afterward. The first page on the menu was their Happy Hour deals. The menu very clearly states Happy Hour, Monday through Friday until 7:50. Cute. The wines were $7.50 per glass. My husband and I both pointed to wines on the front cover of the menu (the ""Happy Hour"" menu). When I got the bill, we were charged full price for the wines. I asked the waitress and she said ""Oh, happy hour doesn't start until 4:00."" Yet NO WHERE on the menu does it say that. In fact, the menu does not indicate any start time, only an end time. Not only that, but the waitress could clearly see that we were ordering from the Happy Hour menu (we did the dumb pointing at names thing). She should have mentioned at that time that the wines would be full price. Instead, she kind of laughed it off and said we probably should put 4:00 on there and I said you absolutely should. I will not be returning or recommending.",negative
"For years I thought this was only a wine store until my sister stopped in and told me I had to go. This is a nice little place. I have stopped in now twice, once on a Saturday afternoon and once on a Tuesday evening. Both times there were others there but nothing too crowded. I like that you can chose wine by the bottle, glass, flight or beer (bottled and draft). The food is tasty too. I have enjoyed their artichoke Asiago dip, stuffed peppadews (medium heat), and buffalo chicken flatbread. This is a nice relaxed place to hang out with friends with a glass of wine (or beer) and have a tasty snack.",positive
"This place is so charming! I went with my husband and we both loved the simple clean decor and romantic lighting. The wine and food were both delicious. Our server was very attentive, friendly, and helpful. I also found it to be very affordable, with a range of wine prices and the option to enjoy some affordable appetizers if you don't want to spend money on a full meal. We will be back!",positive
"We have been wanting to try this place for a couple of years now. Finally stopped in last night. The service was excellent and the food was great. It is very cute inside with a romantic flair. They also have a little wine shop right next to the restaurant. I can't wait to go back when it's snowing outside, I think it will be beautiful.",positive
"Decor looks ok but layout is too busy. Difficult to walk, sit/talk, breathe. Food is...edible? Service is mostly underwhelming. I think for this price I would visit Creekside, Courtyard, or Burntwood instead next time.",negative
"l love this place! Great wine and delicious light fare. The service could be a little more attentive. There is a nice mix of crowd that changes throughout the night. But beware, the seats on the chairs at the bar are VERY slippery even before the wine!",positive
Overpriced. Food wasn't that great either. What bugged me the most is my wife and I were sitting at the end of the bar where apparently the servers like to congregate when they have nothing to do. The guy sitting next to us was an off duty server and had his laptop and everyone kept coming over and hanging out with him. It's just off-putting to have to sit next to a bunch of servers BSing instead of working. Couldn't even hear our own conversation.,negative
"Cute place. Decent selection of wine. Sadly it ends there. There is a $7.50 uncorking fee if you purchase a bottle & choose to drink it there. They tell you they will seal it up for you. Unfortunately the server put the cork from my $55 wine into a bottle of $16 wine, put in a paper bag & stapled it shut around the cork. He said this was fine & would not be considered an open container??? I wish I would have opened the bag. Called the manager when I got home. Not the nicest of guys. He's sorry, will talk to the waiter, & if I come back & mention his name he will ""send something my way"". Since they did not seal up the bottle & gave me the wrong bottle he should be crediting my card back!",negative
"Such a cute and intimate space for some delicious wine! Came here to meet a friend for drinks and dinner. They had a decent selection of wine by the glass. It was nice to see that they weren't all the traditional names. I was able to try some new wine and who doesn't love that? They definitely have a better selection of red wine. But I don't discriminate against red or white so I was happy with each. We both enjoyed some tasty flatbread. Delicious! They even had a mini summer menu selection! For dessert we had a chocolate fondue plate. We both agreed that the pound cake was the best! We would have had the whole plate be pound cake if we could have. I would have given 5 stars but the service was a bit spotty. Few times we would have an empty glass of wine, but our server Brody was very friendly which keeps it at a 4. We will definitely be back for more vino, flat bread and of course the pound cake! Cheers!",positive
Some people believe you cannot fall in love just by looks but I sure did with this place. The ambiance here is great and the place is clean and crisp. I visited on a Wednesday night and it was very empty but that didn't stop my friend and I from having a great time. We never felt rushed to order or rushed to leave. They did not try to close early because the place was empty (this has happened to me at other places). My friend and I sat a table by the window and were able to chat for hours while drinking wine and enjoying great food! This place makes a good date night spot or a place to get together with a group of friends! I started with a glass of the house sangria and it was not my favorite but is by no means bad. From there I asked the waiter to help me pick out a wine that was on the drier side but still had a hint of sweetness- he recommended the Bordeaux by the glass and it was wonderful! It was exactly what I was imagining. My friend ordered the Chardonnay and said it was exactly what she wanted- a summertime wine. You can pick a bottle off the shelves and drink it there (they do charge a $7 corkage fee) and you can take it home if you don't finish it. They have a wonderful selection of bottles and wines by the glass to choose from and they are affordable options! I know sometimes people who don't drink wine are deterred from wine bars but this wine bar also serves a great list of draft and bottled craft beers. The food was also really good! We split the Avocado Toast (a summer special) and the White Hot flatbread pizza. The creamy Asiago cheese on the flatbread was soooooo good! Their menu is simple and delicious.,positive
